PlayerId,MLB_Proj_Score
19961,63.4
19962,42.4
19964,58.94
19966,59.03
19967,48.59
19968,66.13
19976,39.11
19977,62.58
19983,60.98
19990,45.4
19997,69.26
20002,54.07
20003,61.64
20017,63.73
20022,61.77
20023,45.96
20034,60.09
20036,77.06
20040,53.94
20043,85.57
20047,69.72
20054,62.56
20056,59.4
20070,48.38
20078,67.44
20084,59.69
20122,45.16
20123,108.91
20126,60.49
20157,49.89
20165,60.78
20167,40.6
20178,70.32
20186,49.79
2020,70.71
20202,67.0
20220,58.55
20233,60.83
20242,59.38
20263,58.73
20275,52.82
20277,41.07
20287,42.56
20302,51.2
20308,64.3
20311,62.78
20312,41.29
20321,64.12
20325,79.01
20332,73.19
20352,75.23
2036,51.02
20391,73.85
20404,64.12
20437,71.48
20450,58.26
20454,78.76
20463,63.54
20493,71.96
20501,53.2
20503,64.76
20505,58.16
20510,44.86
20521,82.12
20529,51.59
20533,45.75
20536,68.85
20538,80.97
20539,46.77
20540,62.98
20543,72.3
20548,31.31
20557,38.55
20565,42.33
20572,60.97
20599,66.59
20626,55.59
2066,71.58
20739,48.85
20778,46.73
20805,72.31
209,57.86
20926,45.66
20970,68.0
21009,50.73
21078,46.4
211,61.66
21127,66.74
21139,50.85
21183,44.68
21270,57.17
21293,62.75
21304,48.34
21386,53.23
21454,62.99
21479,76.3
21481,44.82
21489,54.0
21496,57.03
21497,60.21
21501,63.78
2151,65.76
2152,68.5
21523,64.27
21524,60.75
21527,47.52
21534,73.26
21535,50.34
21538,63.23
21547,55.37
21558,61.62
21560,61.78
21562,53.19
21587,62.51
21614,60.09
21618,82.05
21622,63.48
21626,38.76
21634,59.41
21635,60.64
21636,70.82
21646,70.91
21662,36.19
21682,53.13
21693,57.65
21707,63.03
21711,70.39
21716,63.29
21730,43.51
21735,51.85
21746,67.44
21780,77.7
2179,74.41
21794,43.33
21797,63.14
21837,69.47
21840,56.69
21842,65.75
21853,58.07
21865,71.56
21871,47.71
21897,64.82
21922,47.89
21987,49.75
2199,61.34
22036,33.31
22045,53.24
2205,72.07
22093,67.4
22116,53.86
22117,50.99
22164,48.95
22165,52.15
22168,62.19
22169,57.69
22175,47.32
22182,41.21
22184,63.53
22186,70.07
22197,76.8
22202,50.63
22209,44.06
22217,67.27
22232,58.81
22239,48.32
22244,55.9
22253,11.91
22254,49.44
22261,54.96
22263,57.8
22266,78.94
22274,60.47
22275,72.24
22277,66.3
22294,29.01
22411,64.7
22458,66.58
22471,63.01
22505,42.24
22514,71.29
22515,60.91
22530,58.07
22532,73.44
22541,56.8
22542,66.47
22557,57.19
22558,72.44
22563,60.79
22566,62.92
22581,89.89
2264,54.17
22650,65.94
22664,83.22
22707,45.34
22715,65.97
22766,50.05
22799,62.22
2280,68.96
22823,58.66
22842,51.34
22857,65.93
22871,77.55
22896,61.19
22906,30.16
23003,74.1
2312,55.25
23250,27.5
23264,51.61
23292,42.28
23296,59.28
23312,57.83
23359,37.14
23372,61.4
23378,53.03
23395,57.91
23401,66.98
23442,56.3
23460,45.16
23552,43.6
23557,55.55
23559,54.99
23565,63.85
23631,58.47
23667,102.2
2369,61.19
23690,75.38
23691,49.46
23695,50.68
23697,91.05
23698,70.12
23733,56.2
23772,59.33
23782,65.73
23788,45.2
23789,54.26
23790,49.92
23792,67.02
23794,57.3
23800,63.08
23802,57.13
23818,61.85
23917,65.9
2396,79.43
23968,55.27
23985,55.81
23986,72.12
24064,80.58
2411,63.52
2412,60.45
24257,52.08
24262,75.1
24273,54.46
2429,50.33
2430,67.52
24336,54.57
24388,65.99
24400,70.29
24451,45.52
24485,49.82
24488,58.96
24491,48.2
24496,38.74
24589,70.51
24597,45.35
24598,60.3
24605,67.66
24610,85.36
24617,65.25
24618,65.87
24622,53.4
24641,52.8
24655,67.74
24671,36.91
24679,66.57
24703,62.3
24729,89.58
24759,65.11
24765,55.02
24770,55.58
24782,57.53
2481,54.56
24816,78.43
2487,48.91
24878,52.93
24934,65.41
2495,60.87
2498,69.71
25005,54.05
2502,70.96
25040,62.55
2505,66.6
25055,54.08
2510,54.45
25111,47.72
25138,47.97
25180,56.94
25183,60.49
2520,26.47
2530,71.8
25332,66.42
25346,58.49
25353,69.45
25385,49.63
2539,56.09
2540,50.63
25425,57.4
25434,49.27
25448,40.9
25459,59.82
25467,47.17
25475,52.57
25476,48.11
25477,57.51
25479,43.71
25482,52.66
25483,60.77
25493,67.6
25505,56.54
25524,49.44
2554,77.3
25543,44.19
25569,59.1
25575,33.23
25616,54.75
25621,55.48
25629,72.19
25643,54.09
25660,71.11
2567,66.24
2568,48.65
25688,41.49
25690,48.94
25705,57.29
25714,63.4
25764,76.59
25768,77.3
25779,44.97
2578,73.91
25782,53.88
25805,57.5
25807,64.72
25813,50.33
25814,36.72
25816,61.58
25817,59.4
25822,63.67
25844,40.05
25845,55.67
25855,51.92
25867,51.73
25873,44.03
25878,78.84
2591,70.65
25918,43.53
25931,80.61
25961,68.49
25967,58.18
25971,59.24
25976,62.32
25979,52.9
25980,53.34
25999,72.19
26031,62.45
2608,51.57
26106,51.36
26121,62.07
26123,63.67
26143,60.07
26148,48.23
26149,57.16
26151,55.98
2616,63.3
26197,79.58
26208,46.49
2621,66.95
26213,47.39
26224,66.77
26244,50.77
26284,49.82
26288,76.14
26289,79.7
26294,64.92
26295,45.87
26299,67.17
26319,57.63
26323,64.96
2636,76.1
26364,46.38
26365,74.38
26368,57.02
26374,48.66
26396,67.94
26420,43.19
26438,65.52
26466,52.2
26467,77.81
26469,51.41
26477,67.26
2650,58.46
26517,79.08
26536,72.53
26540,72.64
26546,59.89
26548,63.26
26599,54.51
26668,73.88
2677,77.65
27462,60.84
27464,50.3
27465,51.81
27467,66.62
27471,53.09
27475,63.34
27478,58.49
27479,78.01
27482,57.74
27490,55.22
27493,47.34
27496,65.38
27497,53.38
27501,72.37
27504,53.58
27531,59.32
27534,59.02
27543,44.73
27555,51.81
27562,67.86
27573,50.14
27577,62.91
27599,54.06
27604,61.47
27615,73.51
27630,65.79
27647,84.62
27653,53.58
27676,81.22
27684,69.83
27690,57.29
27698,42.79
27735,62.44
27763,52.69
27769,69.65
2777,64.56
27770,66.88
27781,45.88
27784,60.69
27789,43.46
27790,74.39
27815,65.04
2783,61.22
2784,53.1
27845,66.2
27883,62.7
27899,83.61
2790,50.34
27915,73.77
27931,55.56
27962,74.29
27963,56.15
2797,54.92
2802,65.13
28022,63.46
28080,79.47
28142,61.71
28163,88.0
28253,84.38
2829,65.18
2830,70.29
28312,69.64
2832,62.6
2833,68.61
28344,49.91
2835,55.0
2845,57.56
2852,64.21
28552,68.6
2858,41.48
28806,80.06
2881,69.78
28816,74.26
2882,47.47
28820,82.16
28824,85.11
2900,46.19
2905,59.55
2917,64.49
2929,31.78
29478,74.03
29487,61.97
29490,84.46
29514,49.15
29518,74.96
29524,28.3
29547,63.08
29554,63.66
29571,53.52
29573,50.42
29575,66.94
29576,72.92
29591,61.69
29592,53.85
29606,59.51
29614,38.78
29617,71.8
29622,79.3
29630,57.93
29634,60.91
29646,76.34
29668,75.39
2967,51.24
