Season,League,N,R2,Adj_R2,F_stat,F_pval,BB/K_coef,BB/K_pval,K%_coef,K%_pval,ISO_coef,ISO_pval,wRC+_coef,wRC+_pval,GB/FB_coef,GB/FB_pval,SwStr%_coef,SwStr%_pval,Age_Z_SL_coef,Age_Z_SL_pval
2015,Arizona League,270,0.829,0.825,181.607,0.0,-0.085,0.002,-2.422,0.0,1.361,0.0,0.005,0.0,0.02,0.034,0.29,0.236,0.009,0.467
2015,California League,193,0.94,0.938,415.232,0.0,-0.129,0.006,-2.508,0.0,1.804,0.0,0.005,0.0,0.015,0.132,0.206,0.103,-0.012,0.121
2015,Carolina League,145,0.905,0.9,185.454,0.0,-0.121,0.003,-2.38,0.0,0.935,0.0,0.005,0.0,0.01,0.238,0.525,0.008,-0.005,0.533
2015,Dominican Summer League,614,0.862,0.86,539.133,0.0,-0.051,0.009,-2.298,0.0,1.728,0.0,0.004,0.0,0.003,0.717,-0.062,0.724,0.016,0.007
2015,Eastern League,164,0.931,0.928,300.465,0.0,-0.074,0.099,-2.051,0.0,1.437,0.0,0.004,0.0,-0.034,0.001,-0.021,0.961,-0.003,0.732
2015,Florida State League,217,0.911,0.908,306.268,0.0,-0.041,0.014,-1.964,0.0,1.632,0.0,0.004,0.0,0.01,0.245,-0.219,0.084,-0.009,0.187
2015,Gulf Coast League,306,0.806,0.801,176.593,0.0,-0.066,0.005,-2.106,0.0,2.075,0.0,0.004,0.0,0.016,0.227,-0.164,0.349,-0.006,0.57
2015,International League,87,0.935,0.929,161.788,0.0,-0.075,0.016,-2.539,0.0,1.901,0.0,0.004,0.0,-0.005,0.379,0.389,0.289,-0.016,0.167
2015,Midwest League,351,0.908,0.906,481.097,0.0,-0.014,0.327,-2.106,0.0,1.567,0.0,0.005,0.0,-0.001,0.864,0.174,0.1,-0.008,0.163
2015,Pacific Coast League,125,0.862,0.853,104.116,0.0,-0.046,0.314,-2.102,0.0,1.921,0.0,0.004,0.0,-0.006,0.354,0.89,0.149,0.006,0.75
2015,Pioneer League,168,0.83,0.822,111.42,0.0,-0.042,0.26,-3.015,0.0,1.717,0.0,0.005,0.0,0.008,0.662,0.782,0.021,0.023,0.077
2015,South Atlantic League,296,0.892,0.89,341.429,0.0,-0.171,0.0,-2.082,0.0,1.444,0.0,0.005,0.0,-0.012,0.054,-0.38,0.002,-0.014,0.048
2015,Southern League,143,0.952,0.949,378.699,0.0,-0.131,0.001,-2.199,0.0,1.418,0.0,0.005,0.0,-0.009,0.221,0.236,0.462,0.013,0.213
2015,Texas League,98,0.93,0.924,170.421,0.0,-0.104,0.098,-1.962,0.0,1.853,0.0,0.005,0.0,0.004,0.805,-0.321,0.543,-0.016,0.218
2015,Venezuelan Summer League,59,0.911,0.899,74.638,0.0,0.143,0.021,-3.407,0.0,3.372,0.0,0.002,0.001,0.021,0.456,1.121,0.068,0.017,0.328
2016,Appalachian League,182,0.842,0.835,132.115,0.0,-0.181,0.001,-1.663,0.0,1.71,0.0,0.004,0.0,0.002,0.903,-0.72,0.003,-0.001,0.963
2016,Arizona League,280,0.805,0.8,160.428,0.0,-0.106,0.061,-1.971,0.0,1.717,0.0,0.005,0.0,-0.001,0.854,-0.319,0.157,-0.002,0.897
2016,California League,193,0.913,0.91,278.842,0.0,-0.088,0.005,-2.451,0.0,1.995,0.0,0.004,0.0,-0.002,0.867,0.168,0.542,0.009,0.277
2016,Carolina League,154,0.882,0.877,156.559,0.0,-0.001,0.975,-2.005,0.0,1.378,0.0,0.004,0.0,-0.013,0.271,-0.113,0.75,-0.027,0.007
2016,Dominican Summer League,684,0.873,0.872,662.765,0.0,-0.029,0.066,-2.403,0.0,1.92,0.0,0.004,0.0,-0.001,0.858,-0.026,0.858,0.002,0.61
2016,Eastern League,162,0.964,0.963,592.626,0.0,0.018,0.601,-2.357,0.0,1.817,0.0,0.004,0.0,0.006,0.312,0.657,0.004,-0.007,0.37
2016,Florida State League,240,0.919,0.917,377.907,0.0,-0.043,0.016,-1.743,0.0,1.721,0.0,0.005,0.0,-0.015,0.006,-0.392,0.088,-0.01,0.119
2016,Gulf Coast League,330,0.813,0.809,199.924,0.0,-0.111,0.007,-2.172,0.0,2.075,0.0,0.004,0.0,0.013,0.235,-0.417,0.019,0.006,0.582
2016,International League,93,0.944,0.939,202.871,0.0,-0.109,0.159,-2.606,0.0,1.955,0.0,0.003,0.0,0.006,0.611,0.343,0.442,-0.019,0.181
2016,Midwest League,369,0.925,0.924,639.377,0.0,-0.079,0.003,-2.141,0.0,1.534,0.0,0.004,0.0,-0.0,0.999,0.093,0.646,0.001,0.887
