BW_Rank,BW_Name,BW_Team,Pos,BW_Age,In_Pool,Combined_Rank,Delta,Pool_Name,Pool_Team,Level,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
63,Spencer Jones,NYY,OF,25.0,False,,,,,,,,,,
64,Lazaro Montes,SEA,OF,21.6,True,150.0,-86.0,Lazaro Montes,SEA,AAA,57.67,71.67,58.78,70.48,62.12
65,Ryan Clifford,NYM,1B/OF,22.9,True,539.0,-474.0,Ryan Clifford,NYM,AAA,56.24,59.45,50.7,69.28,56.51
66,Xavier Neyens,HOU,SS,19.7,True,879.0,-813.0,Xavier Neyens,HOU,A+,,63.43,50.34,61.89,53.94
67,Carlos Lagrange,NYY,RHP,22.11,False,,,,,,,,,,
68,Henry Bolte,SAC,OF,22.9,False,,,,,,,,,,
69,James Tibbs III,LAD,OF,23.7,True,519.0,-450.0,James Tibbs III,LAD,AAA,54.09,66.25,56.4,57.14,56.74
70,Charles Davalan,LAD,OF,22.5,True,11.0,59.0,Charles Davalan,LAD,A+,71.25,79.91,69.75,46.37,70.23
71,Devin Fitz-Gerald,WSH,2B/3B/SS,20.8,True,158.0,-87.0,Devin Fitz-Gerald,WSH,AA,62.84,68.41,51.76,67.24,61.97
72,Bryce Rainer,DET,SS,20.1,True,567.0,-495.0,Bryce Rainer,DET,A+,58.6,53.34,53.47,64.6,56.24
73,Liam Doyle,STL,LHP,21.11,False,,,,,,,,,,
74,Jonny Farmelo,SEA,OF,21.8,True,446.0,-372.0,Jonny Farmelo,SEA,AA,54.96,65.85,54.27,62.79,57.36
75,Steele Hall,CIN,SS,18.9,True,713.0,-638.0,Steele Hall,CIN,A,,61.6,57.79,61.07,55.03
76,Gage Jump,SAC,LHP,23.1,False,,,,,,,,,,
77,Jamie Arnold,SAC,LHP,22.1,False,,,,,,,,,,
78,Gage Wood,PHI,RHP,22.5,False,,,,,,,,,,
79,Hagen Smith,CHW,LHP,22.8,False,,,,,,,,,,
80,Esmerlyn Valdez,PIT,1B/OF,22.7,True,139.0,-59.0,Esmerlyn Valdez,PIT,AAA,56.22,75.83,59.12,69.28,62.3
81,Hector Rodriguez,CIN,OF,22.2,True,17.0,64.0,Héctor Rodríguez,CIN,AAA,64.92,80.93,63.44,69.28,68.87
82,Travis Sykora,WSH,RHP,22.0,False,,,,,,,,,,
83,Jett Williams,MIL,SS/OF,22.6,True,134.0,-51.0,Jett Williams,MIL,AAA,58.69,72.86,57.7,69.28,62.52
84,Cooper Pratt,MIL,SS,21.9,True,34.0,50.0,Cooper Pratt,MIL,AAA,61.54,80.7,60.63,75.85,67.35
85,Aiva Arquette,MIA,SS,22.6,True,626.0,-541.0,Aiva Arquette,MIA,AA,50.86,64.41,60.33,58.16,55.67
86,Angel Genao,CLE,SS,21.11,True,62.0,24.0,Angel Genao,CLE,AAA,62.06,75.27,61.53,69.28,65.64
87,Caden Scarborough,TEX,RHP,21.1,False,,,,,,,,,,
88,Jefferson Rojas,CHC,SS/2B,21.0,True,41.0,47.0,Jefferson Rojas,NYM,AA,62.82,80.15,60.32,69.09,66.91
89,Jacob Reimer,NYM,3B,22.2,True,172.0,-83.0,Jacob Reimer,NYM,AA,60.36,71.36,57.98,58.44,61.66
90,Michael Arroyo,SEA,2B/OF,21.6,True,31.0,59.0,Michael Arroyo,SEA,AAA,62.63,83.72,58.72,70.48,67.5
