Rank,Name,Team,Pos,Age,ExactAge,Age_R,PA,PPPA,PPPA_R,Overall,Overall_R,Discipline,Discipline_R,Power,Power_R,Contact,Contact_R,ConPow,ConPow_R,ConDis,ConDis_R,ConDisSpd,ConDisSpd_R,Speed,Speed_R,BB%-2K%,BB%-2K%_R,Chase%,Chase%_R,ZContact%,ZContact%_R,Whiff%,Whiff%_R,MaxEV,MaxEV_R,EV90,EV90_R,HardHit%,HardHit%_R,Barrel%,Barrel%_R,PullAir%,PullAir%_R,xBA,xBA_R,xSLG,xSLG_R,Spd,Spd_R,SB_rate,SB_rate_R,SB_succ,SB_succ_R
147,Miguel Palma,NYY,C,23.0,23.737,83.0,56,0.56,16.3,37.9,21.9,75.9,82.6,36.0,30.0,81.0,87.4,58.5,65.8,78.4,86.5,54.2,55.1,5.7,0.5,-21.4,83.7,26.923,58.4,87.879,86.3,21.277,82.6,104.8,5.0,100.2,11.1,33.3,29.4,3.571,44.7,15.6,44.3,0.249,75.8,0.381,65.6,0.143,1.0,0.0,8.8,0.0,8.8
148,Matthew Lugo,LAA,LF,24.0,24.394,72.9,462,0.71,31.0,37.6,21.4,15.2,5.7,67.0,72.1,40.4,38.7,53.7,56.4,27.8,18.1,36.4,20.3,53.5,53.5,-51.9,12.4,35.624,9.6,78.887,27.0,30.696,30.7,110.9,70.3,104.7,67.4,41.4,68.2,5.844,74.3,16.4,49.2,0.231,53.7,0.374,60.1,6.163,69.7,0.024,52.1,0.611,29.4
149,Marco Luciano,NYY,SS,23.0,24.055,79.6,555,0.62,21.4,37.4,20.9,38.2,33.1,78.9,86.3,11.5,6.1,45.2,38.2,24.8,14.2,30.8,10.7,42.7,38.0,-45.9,21.9,22.008,86.3,74.678,9.2,36.89,6.8,113.7,93.9,107.3,91.0,45.3,82.8,6.667,82.5,15.4,42.7,0.193,13.8,0.386,67.2,4.305,34.6,0.018,42.8,0.769,55.6
150,Milan Tolentino,CLE,SS,23.0,23.869,81.4,460,0.7,29.7,36.2,20.1,14.8,5.2,58.4,61.9,13.9,8.1,36.2,23.6,14.4,4.1,31.7,12.8,66.4,69.5,-56.6,6.8,31.864,26.4,77.716,20.3,33.566,17.4,111.7,77.6,103.2,44.9,40.6,62.4,5.217,65.8,20.2,71.0,0.182,7.5,0.332,34.9,5.972,66.7,0.043,73.8,0.769,55.6
151,Johnny Olmstead,MIA,3B,24.0,25.224,59.6,132,0.62,21.4,36.2,20.1,37.0,30.7,37.5,32.7,28.2,23.4,32.8,19.0,32.6,25.1,48.2,40.6,79.4,86.1,-34.9,52.2,33.218,20.5,80.0,34.0,32.184,23.5,108.0,28.5,102.3,34.1,32.1,25.1,3.788,47.4,17.9,59.3,0.205,22.4,0.306,20.0,7.913,93.9,0.068,90.4,0.692,40.9
152,Rafael Flores Jr.,PIT,C,24.0,24.895,65.3,206,0.68,26.7,36.1,19.3,44.9,42.5,69.7,76.4,22.7,15.5,46.2,40.7,33.8,26.8,26.1,6.4,10.6,11.2,-39.8,39.3,24.717,74.3,74.219,7.6,33.973,14.6,109.7,52.7,105.6,77.2,36.4,44.2,5.825,73.5,18.9,66.4,0.22,37.7,0.398,72.2,2.481,13.3,0.0,8.8,0.0,8.8
153,Brody Moore,STL,SS,24.0,25.196,60.3,221,0.64,23.5,36.0,18.7,45.2,42.9,10.3,3.5,54.2,55.1,32.2,18.1,49.7,50.0,56.9,61.5,71.3,77.0,-36.7,47.9,32.553,23.1,86.517,80.8,23.645,71.7,107.3,21.4,98.9,4.1,19.7,2.2,0.905,8.3,8.6,11.0,0.21,27.7,0.276,9.8,6.328,72.1,0.027,56.1,1.0,91.4
154,Nacho Alvarez Jr.,ATL,SS,22.0,22.472,95.3,79,0.54,14.4,35.1,18.2,84.0,91.2,9.7,2.9,55.7,56.3,32.7,18.5,69.8,77.7,49.9,45.2,10.1,9.6,-24.1,78.4,20.0,92.4,87.5,85.5,20.492,85.6,106.2,11.1,100.0,9.6,20.8,2.9,0.0,2.4,14.6,38.7,0.208,25.9,0.263,6.8,2.283,12.0,0.0,8.8,0.0,8.8
155,Tucker Flint,LAA,OF,24.0,24.487,72.1,395,0.63,22.5,33.9,17.6,19.5,9.6,48.4,49.6,10.5,5.0,29.4,14.8,15.0,4.4,36.8,20.9,80.5,87.7,-64.5,2.9,26.901,58.6,72.308,5.2,40.0,2.6,108.4,32.5,103.9,57.2,41.4,68.2,4.557,57.3,14.5,37.7,0.195,15.8,0.346,44.0,7.373,88.2,0.041,70.3,0.941,82.4
156,Enrique Bradfield Jr.,BAL,OF,23.0,23.828,82.1,62,0.54,14.4,32.5,17.1,34.0,27.1,10.8,3.7,37.8,34.5,24.3,8.9,35.9,30.5,54.9,57.0,92.9,98.4,-54.7,8.0,27.103,56.6,84.81,71.0,25.0,65.0,103.8,3.2,101.2,21.2,30.8,18.7,1.613,13.9,7.7,6.6,0.17,4.7,0.247,4.8,9.585,99.6,0.097,97.9,0.857,75.1
157,Colin Barber,0,LF,24.0,24.821,66.7,223,0.39,8.8,32.4,16.6,51.0,54.1,46.9,46.6,34.4,31.7,40.6,30.1,42.7,41.4,45.0,33.2,49.7,48.1,-42.7,32.2,24.947,73.2,82.463,54.0,25.13,64.5,113.5,92.3,104.1,59.4,36.2,43.1,3.139,38.9,12.1,24.6,0.194,14.9,0.31,22.4,5.74,61.2,0.013,35.3,0.75,51.3
158,Keaton Anthony,PHI,OF,24.0,24.268,75.1,148,0.6,19.5,32.2,16.0,44.1,42.0,44.6,44.4,65.8,71.0,55.2,58.8,55.0,58.2,38.8,24.6,6.4,2.4,-36.5,48.9,34.832,13.1,82.796,55.8,22.222,78.6,107.2,19.8,102.9,40.8,36.6,45.4,4.73,59.8,6.9,5.2,0.249,75.8,0.376,62.1,0.96,2.7,0.0,8.8,0.0,8.8
159,Tsung-Che Cheng,BOS,SS,23.0,24.181,76.9,397,0.45,11.0,31.5,15.5,54.6,59.0,17.3,8.6,18.6,12.2,18.0,4.4,36.6,32.1,45.6,34.2,63.5,64.4,-38.0,44.9,22.722,84.3,77.053,18.1,30.208,34.2,107.3,21.4,100.8,16.6,29.8,16.6,2.015,22.7,6.3,3.7,0.2,19.2,0.279,11.9,5.885,64.5,0.045,74.9,0.72,46.0
160,Yohandy Morales,WSN,3B,23.0,23.975,80.3,433,0.58,17.4,31.3,15.0,16.2,6.8,62.3,66.1,21.8,14.6,42.0,31.9,19.0,8.5,32.1,14.2,58.3,58.3,-50.0,15.6,32.819,22.2,75.281,10.5,35.938,8.5,112.8,87.1,105.9,80.4,48.8,90.3,4.619,58.0,8.3,9.3,0.216,33.2,0.372,59.2,5.605,59.3,0.012,33.4,1.0,91.4
161,Colson Montgomery,CHW,SS,23.0,23.589,84.9,242,0.52,13.1,31.1,14.4,20.0,9.9,77.7,84.3,39.8,36.7,58.8,66.7,29.9,20.8,32.2,15.0,36.8,27.8,-59.9,4.6,31.429,29.6,84.431,67.5,28.484,44.0,115.3,97.2,108.2,95.1,37.9,50.4,6.198,78.4,19.3,68.0,0.19,12.1,0.354,49.2,4.893,45.8,0.008,27.5,0.667,35.3
162,Josh Kasevich,TOR,SS,24.0,24.701,69.7,114,0.18,3.7,30.9,13.9,86.2,93.5,17.4,8.9,60.9,63.6,39.2,27.2,73.6,82.8,51.8,49.2,8.2,7.5,-23.6,79.2,20.276,91.9,88.281,87.6,16.86,95.0,109.5,48.3,99.9,8.6,43.8,77.2,0.877,7.8,7.9,7.6,0.217,34.2,0.307,20.8,1.563,7.2,0.0,8.8,0.0,8.8
163,Dayan Frias,CLE,3B,23.0,23.266,88.6,176,0.39,8.8,30.3,13.4,50.6,52.8,16.9,8.1,45.0,44.3,31.0,16.7,47.8,48.4,48.9,41.7,51.1,50.8,-38.1,44.6,28.889,44.2,86.486,80.4,23.006,75.4,107.2,19.8,101.1,19.8,35.3,39.7,1.136,8.9,16.7,51.7,0.185,9.6,0.271,8.4,5.008,47.7,0.04,69.3,0.636,31.0
164,Juan Corniel,0,SS,22.0,22.995,91.3,84,0.6,19.5,30.2,12.8,46.8,44.8,5.2,0.9,77.9,84.1,41.6,31.0,62.4,68.5,46.5,37.4,14.7,14.4,-34.4,54.2,35.385,10.9,90.426,94.3,21.429,82.1,101.7,0.7,96.6,0.9,22.6,4.2,0.0,2.4,9.4,13.4,0.238,61.5,0.284,13.5,3.422,23.5,0.0,8.8,0.0,8.8
165,Silas Ardoin,BAL,C,24.0,25.029,63.1,108,0.61,20.3,30.1,12.3,45.0,42.7,47.1,47.3,28.2,23.4,37.6,24.2,36.6,32.1,26.5,7.0,6.2,1.6,-43.5,29.5,23.529,80.2,75.806,12.9,30.682,31.0,107.9,27.0,101.1,19.8,33.9,31.5,5.556,70.3,14.5,37.7,0.224,43.5,0.361,53.1,0.946,2.4,0.0,8.8,0.0,8.8
166,Jud Fabian,BAL,OF,24.0,25.008,63.6,431,0.44,9.9,29.9,11.8,36.6,30.1,58.1,61.7,8.1,3.3,33.1,19.6,22.4,11.1,32.8,16.0,53.8,54.5,-46.5,21.0,22.803,83.7,70.175,2.4,37.564,5.2,111.6,76.4,104.2,61.2,36.8,46.0,4.64,58.4,18.1,61.4,0.193,13.8,0.336,37.4,4.888,45.5,0.019,44.4,0.889,80.2
167,Rainer Nunez,0,1B,24.0,24.821,66.7,300,0.56,16.3,29.4,11.2,31.4,25.1,57.5,61.0,33.2,30.4,45.4,38.7,32.3,24.3,29.3,9.6,23.3,20.3,-40.0,38.6,34.091,15.9,79.675,32.2,29.534,36.4,119.6,100.0,107.9,94.0,47.2,88.1,4.0,50.7,8.5,10.1,0.217,34.2,0.313,24.1,2.63,14.4,0.007,24.9,0.667,35.3
168,Fernando Peguero,BAL,SS,20.0,20.758,99.6,83,0.52,13.1,27.6,10.7,31.5,25.3,4.8,0.7,10.4,4.7,7.6,0.2,21.0,10.3,38.7,24.1,74.1,78.3,-39.8,39.3,31.818,26.8,70.408,2.8,33.117,19.2,106.0,9.6,97.6,2.0,21.2,3.5,0.0,2.4,9.4,13.4,0.199,18.0,0.235,3.1,5.738,61.0,0.048,76.7,1.0,91.4
169,Orelvis Martinez,0,2B,23.0,23.863,81.8,394,0.37,7.5,27.5,10.2,23.6,15.4,63.7,68.4,34.2,31.3,49.0,47.9,28.9,18.7,32.5,15.5,39.8,35.8,-44.9,25.6,31.494,29.4,83.235,59.7,35.211,10.0,112.1,82.1,103.5,50.8,37.2,46.8,5.076,64.1,27.3,95.5,0.184,8.8,0.344,43.0,3.397,23.3,0.005,21.7,1.0,91.4
