Combined_Rank,Name,Team,Level,BA_Rank,BA_Delta,PIPE_Rank,PIPE_Delta,BA_Org_Rank,PIPE_Org_Rank,TBC_Name,Pos,Born,Age_At_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score
166,Starlyn Caba,MIA,A+,,,,,10,7,Starlyn Caba,SS,2005-12-06,21.0,60.63,70.69,55.89,64.38,61.67
166,Ethan Anderson,BAL,AA,,,,,23,26,Ethan Anderson,C-1B,2003-09-21,23.0,59.57,72.88,59.59,58.3,61.67
168,Trevor Cohen,SF,AA,,,,,9,9,Trevor Cohen,OF,2003-10-29,23.0,59.86,72.26,62.69,52.92,61.65
169,Handelfry Encarnacion,MIL,A,,,,,27,,Handelfry Encarnacion,RF-CF,2007-06-08,19.0,60.36,73.34,55.87,60.45,61.63
172,Carlos Virahonda,AZ,A+,,,,,19,17,Carlos Virahonda,C,2005-12-13,21.0,58.92,77.43,55.09,59.65,61.57
173,Enrique Jimenez,MIN,A+,,,,,29,27,Enrique Jimenez,C-1B,2005-11-03,21.0,58.87,75.31,54.54,64.38,61.55
175,Jacob Reimer,NYM,AA,,,,,8,6,Jacob Reimer,3B-1B,2004-02-22,22.0,60.56,72.07,57.38,58.3,61.49
178,Luis Guanipa,ATL,A+,,,,,,21,Luis Guanipa,CF,2005-12-15,21.0,57.23,78.79,58.03,57.63,61.42
180,Angeibel Gomez,KC,R,,,,,,7,Angeibel Gomez,OF,2008-12-12,18.0,,66.8,84.23,57.69,61.38
181,Yeremy Cabrera,WSH,A+,,,,,14,20,Yeremy Cabrera,CF-RF,2005-07-02,21.0,60.8,65.38,60.08,63.75,61.37
182,Juan Cabada,CHC,A,,,,,19,12,Juan Cabada,SS,2008-04-30,18.0,57.79,74.15,57.72,63.79,61.36
183,Carlos Gutierrez,BOS,A+,,,,,13,15,Carlos Gutierrez,OF,2004-08-22,22.0,58.66,71.1,63.93,55.14,61.34
188,Jancel Villarroel,SF,AA,,,,,19,25,Jancel Villarroel,C,2005-01-17,21.0,58.93,73.14,56.26,62.94,61.27
189,Zach Ehrhard,LAD,AAA,,,,,21,18,Zach Ehrhard,RF-LF,2003-01-21,23.0,58.65,75.06,58.18,57.28,61.26
190,Felnin Celesten,SEA,AA,,,,,9,7,Felnin Celesten,SS,2005-09-15,21.0,57.1,75.13,54.99,68.42,61.23
192,Max Anderson,DET,AAA,,,,,7,5,Max Anderson,2B,2002-02-28,24.0,59.79,75.03,61.47,46.79,61.19
193,Zyhir Hope,DET,AA,63.0,-130.0,27.0,-166.0,4,2,Zyhir Hope,LF-CF,2005-01-19,21.0,54.79,73.58,61.39,68.88,61.18
196,Wyatt Sanford,PIT,A+,,,,,12,8,Wyatt Sanford,SS,2005-11-24,21.0,58.57,68.97,60.07,63.75,61.07
197,Mikey Romero,BOS,AAA,,,,,18,13,Mikey Romero,SS-2B,2004-01-12,22.0,58.59,71.4,54.29,69.07,61.06
201,Eric Hartman,ATL,AA,,,,,24,20,Eric Hartman,OF,2006-06-16,20.0,55.71,73.23,60.18,66.65,61.01
205,Theo Gillen,TB,AA,64.0,-141.0,76.0,-129.0,2,2,Theo Gillen,CF,2005-09-12,21.0,55.01,70.19,64.5,66.65,60.9
207,Marco Dinges,MIL,AA,,,,,8,10,Marco Dinges,C,2003-09-05,23.0,59.37,74.75,58.75,50.97,60.85
210,Ramcell Medina,KC,R,,,,,20,19,Ramcell Medina,SS,2007-11-13,19.0,63.33,68.44,51.2,59.1,60.8
218,Marco Vargas,NYM,AA,,,,,18,21,Marco Vargas,SS-2B,2005-05-14,21.0,58.33,66.19,58.24,68.88,60.57
225,Jeral Perez,CWS,AA,,,,,17,15,Jeral Perez,SS,2004-11-06,22.0,61.08,67.26,54.84,61.36,60.48
230,Ching-Hsien Ko,LAD,A,,,,,17,15,Ching-Hsien Ko,OF,2006-08-11,20.0,58.1,74.29,53.26,61.9,60.32
236,Boston Baro,NYM,A+,,,,,19,24,Boston Baro,3B-SS,2004-08-23,22.0,59.8,72.82,56.61,51.38,60.21
238,Cris Rodriguez,DET,A,,,,,8,8,Cris Rodriguez,OF,2008-01-28,18.0,60.0,61.4,62.34,60.73,60.15
239,Enddy Azocar,BAL,A+,,,,,12,12,Enddy Azocar,LF,2007-02-24,19.0,56.68,68.43,58.31,67.72,60.11
243,Deniel Ortiz,STL,AA,,,,,20,24,Deniel Ortiz,IF,2004-08-24,22.0,53.35,72.57,59.45,70.27,59.97
246,Marlon Quintero,LAA,A,,,,,25,28,Marlon Quintero,C,2006-11-27,20.0,58.65,73.27,51.25,61.9,59.92
251,Juan Flores,LAA,AA,,,,,17,21,Juan Flores,C,2006-02-13,20.0,57.17,75.81,47.86,68.42,59.86
254,Xavier Isaac,TB,AAA,,,,,13,14,Xavier Isaac,1B,2003-12-17,23.0,58.8,63.44,60.33,62.76,59.83
256,Termarr Johnson,PIT,AAA,,,,,7,7,Termarr Johnson,2B-SS,2004-06-11,22.0,58.07,66.86,54.19,69.07,59.72
260,Anthony Gutierrez,TEX,A+,,,,,26,29,Anthony Gutierrez,OF,2004-11-25,22.0,55.91,69.27,59.09,64.24,59.64
261,Ashly Andujar,COL,A,,,,,19,24,Ashly Andujar,SS,2007-07-29,19.0,60.79,68.28,48.29,65.08,59.61
262,Angel Feliz,WSH,A+,,,,,10,23,Angel Feliz,SS,2006-11-16,20.0,56.01,71.27,54.47,67.72,59.59
268,Yassel Soler,AZ,A+,,,,,22,21,Yassel Soler,3B,2006-01-26,20.0,60.42,66.48,50.54,65.08,59.5
270,Taitn Gray,TB,A,,,,,,30,Taitn Gray,C,2007-08-16,19.0,,79.59,58.53,63.79,59.47
271,Daiverson Gutierrez,NYM,A+,,,,,25,26,Daiverson Gutierrez,C,2005-09-11,21.0,59.61,71.28,47.93,63.75,59.46
277,Yilver De Paula,LAA,R,,,,,26,24,Yilver De Paula,SS,2008-01-15,18.0,60.8,66.58,52.45,59.1,59.36
278,Bo Davidson,SF,AAA,87.0,-191.0,,,3,7,Bo Davidson,LF-CF,2002-07-05,24.0,57.68,66.78,63.22,52.27,59.31
279,Andrew Fischer,MIL,AA,,,,,10,6,Andrew Fischer,IF,2004-05-25,22.0,50.8,78.36,63.29,58.11,59.28
281,Cooper Flemming,TB,A,,,,,23,28,Cooper Flemming,SS,2006-08-05,20.0,,79.26,59.96,60.45,59.27
283,Ronny Cruz,WSH,A+,,,,,21,25,Ronny Cruz,SS,2006-08-24,20.0,58.41,64.02,54.96,67.72,59.24
285,Braylon Payne,MIL,AA,,,,,17,14,Braylon Payne,CF-RF,2006-08-14,20.0,51.88,71.24,58.91,73.43,59.21
295,Carlos Jorge,CIN,AAA,,,,,29,18,Carlos Jorge,2B-CF,2003-09-22,23.0,56.66,64.33,60.73,62.76,59.05
295,Diego Frontado,MIL,R,,,,,,23,Diego Frontado,SS,2008-09-10,18.0,,68.86,71.48,57.69,59.05
303,Angel Nuñez,CIN,R,,,,,,27,Angel Nunez,OF,2009-04-07,17.0,,69.16,70.79,57.69,58.97
304,Leo Balcazar,CIN,AAA,,,,,16,17,Leo Balcazar,SS-3B,2004-06-17,22.0,57.65,69.19,52.91,62.76,58.95
306,Ramon Ramirez,KC,A+,,,,,7,8,Ramon Ramirez,C,2005-06-15,21.0,54.37,70.76,63.17,55.28,58.94
306,Brendan Summerhill,TB,A+,,,,,10,21,Brendan Summerhill,OF,2003-11-13,23.0,65.2,60.28,58.27,40.06,58.94
311,Dylan Dreiling,TEX,AA,,,,,12,10,Dylan Dreiling,CF-LF,2003-04-17,23.0,60.43,63.54,60.41,48.93,58.9
