Combined_Rank,Name,Team,Level,Age,PA,BW_Rank,BA_Rank,PIPE_Rank,BA_Org_Rank,PIPE_Org_Rank,Score,Score_Rank,Skill_Score,MLB_Proj_Score,PPPA_Score,Age_Score,Combined_Score,PlayerId
111,Santiago Figueroa,TB,R,17.0,294,,,,,,55.8,628,69.42,64.76,52.64,57.64,63.36,833411
112,Aroon Escobar,PHI,AA,21.0,1451,128.0,,,4,6,57.78,348,61.35,71.17,57.12,69.09,63.31,800169
112,Jaiden Lo Re,BAL,A,19.0,310,,,,,,63.17,40,,86.44,68.56,60.51,63.31,828318
114,Andreimi Antunez,TB,A,19.0,522,,,,,,57.03,429,60.58,73.09,63.35,57.79,63.28,821782
114,John Gil,ATL,AA,20.0,1554,93.0,,,12,10,60.09,155,59.67,73.71,59.15,67.24,63.28,808535
116,Angel De Los Santos,DET,A,18.0,367,,,,24,,61.04,109,62.69,70.25,59.74,60.68,63.24,829751
117,Aidan Miller,PHI,AAA,21.0,1068,17.0,14.0,23.0,1,1,61.04,109,58.73,72.71,63.0,65.66,63.2,805795
118,Kendall George,LAD,AA,21.0,1317,134.0,,,11,14,61.46,88,56.92,71.22,65.77,70.48,63.17,806077
119,Bryant Betancourt,COL,AAA,22.0,1891,,,,,,57.85,338,62.45,71.7,56.37,63.07,63.04,700164
120,Christian Gonzalez,CWS,A,19.0,492,,,,,,53.87,1019,63.28,77.2,49.89,60.51,63.02,822619
121,Juan Sanchez,TOR,A,18.0,624,106.0,,,,7,58.28,291,65.99,65.39,53.33,65.01,62.89,825646
122,Arjun Nimmala,LAA,AA,20.0,1258,92.0,62.0,77.0,,3,61.85,70,59.73,72.01,55.26,73.54,62.86,805796
123,Jirvin Morillo,CIN,A,19.0,587,,,,21,23,58.43,281,64.28,62.68,63.9,58.45,62.84,821073
124,Franklin Primera,BOS,A,19.0,460,,,,,,59.13,217,62.78,62.99,65.49,60.51,62.78,829398
125,Yovanny Duran,MIN,A,18.0,458,,,,,,62.56,53,58.73,72.37,64.23,60.68,62.74,829773
126,Jhon Gil,LAD,R,18.0,278,,,,,,60.38,136,62.59,66.93,62.09,59.05,62.7,830459
127,Diorland Zambrano,CIN,R,19.0,427,,,,,,54.88,831,66.47,64.63,59.35,52.67,62.67,821045
127,Pablo Nunez,CIN,A,19.0,422,,,,,,57.59,370,63.02,63.84,62.64,61.96,62.67,807647
129,Gavin Kilen,SF,AA,22.0,519,224.0,,,8,5,55.02,787,61.79,74.06,59.27,52.88,62.59,702264
130,Jeferson Quero,MIL,AAA,23.0,1577,,,,7,8,57.77,349,62.31,73.37,55.6,58.07,62.55,691620
131,Jose Verdugo,SD,A,18.0,513,,,,,,59.99,159,60.69,71.58,57.22,64.85,62.54,825269
131,Yophery Rodriguez,BOS,A+,20.0,1513,281.0,,,,,57.86,336,60.44,75.13,54.28,64.18,62.54,806983
133,Marconi German,WSH,R,18.0,399,189.0,,,17,21,61.46,88,60.41,69.23,63.95,58.79,62.53,829699
134,Jett Williams,MIL,AAA,22.0,1654,83.0,71.0,51.0,4,3,59.72,176,58.69,72.86,57.7,69.28,62.52,702518
135,Liberts Aponte,CIN,R,18.0,343,,,,22,14,57.42,390,63.22,66.66,63.24,53.53,62.48,829051
136,Jansel Luis,AZ,AA,21.0,1912,,,,12,13,58.96,224,60.62,67.86,57.77,70.48,62.46,800306
137,Diego Contreras,SEA,R,18.0,323,,,,,,59.19,211,62.66,68.86,58.36,59.05,62.38,832559
138,Emmanuel Cedeno,TB,R,18.0,455,,,,,,58.81,238,61.68,71.36,57.82,58.79,62.33,829703
139,Cooper Ingle,CLE,AAA,24.0,1354,109.0,,99.0,10,6,55.88,610,62.53,71.04,63.12,46.85,62.3,694876
139,Esmerlyn Valdez,PIT,AAA,22.0,1660,80.0,,,,,58.37,287,56.22,75.83,59.12,69.28,62.3,699013
141,Louis Andujar,BOS,A,18.0,398,,,,,,59.77,174,65.78,59.27,58.45,63.85,62.28,829943
141,Yunior Amparo,NYM,R,19.0,184,,,,,,55.8,628,63.74,61.82,67.16,52.23,62.28,825159
143,Miguel Rodríguez,BAL,A,20.0,651,,,,,,57.64,363,62.99,73.13,56.17,52.6,62.25,808277
144,Carlos  Garces,CLE,R,19.0,493,,,,,,54.78,854,64.97,66.62,58.58,52.67,62.22,823727
145,Francisco Renteria,PHI,R,17.0,236,107.0,,,,5,68.68,7,,67.1,86.36,57.64,62.2,836353
146,Leanders Matos,MIL,R,16.0,228,,,,,,68.74,6,,73.49,76.91,61.75,62.19,837864
146,Haritzon Castillo,MIN,R,18.0,188,,,,25,,60.26,142,64.8,58.2,64.43,58.79,62.19,829061
148,Stiven Flores,CWS,A,20.0,853,,,,,,58.04,311,60.76,75.87,57.82,52.6,62.15,808696
149,Moises Acacio,LAD,R,18.0,216,,,,,,62.32,60,60.77,65.82,64.97,59.05,62.14,830432
150,Nate Furman,SF,AAA,24.0,1275,,,,,,55.56,674,61.64,74.9,60.22,46.67,62.12,801501
150,Lazaro Montes,SEA,AAA,21.0,2152,64.0,58.0,43.0,3,4,60.22,145,57.67,71.67,58.78,70.48,62.12,703155
152,Tommy White,OAK,AAA,23.0,860,198.0,,,,,55.02,787,60.73,72.4,58.77,57.14,62.1,695720
153,Diego Velasquez,SF,AAA,22.0,2372,,,,23,,58.52,268,60.34,72.69,55.68,63.07,62.06,694196
154,Anderson Araujo,PHI,R,18.0,325,,,,23,,58.96,224,62.13,67.9,59.22,58.79,62.03,827410
155,Ty Southisene,TOR,A+,20.0,757,,,,22,26,60.46,131,58.29,70.71,61.24,64.87,62.01,807257
156,Johan Machado,MIA,R,18.0,457,,,,,,59.57,186,59.4,67.6,68.76,53.53,62.0,829721
157,Sami Manzueta,HOU,R,17.0,392,,,,,,56.18,556,64.21,71.18,51.37,57.64,61.99,832795
158,Josiah Hartshorn,CHC,A+,19.0,481,53.0,,,12,8,61.66,83,,80.18,64.25,69.11,61.97,815824
158,Devin Fitz-Gerald,WSH,AA,20.0,608,71.0,,,8,9,59.84,170,62.84,68.41,51.76,67.24,61.97,803849
160,Chase Harlan,LAD,A+,19.0,696,95.0,,,10,17,59.56,187,56.86,78.4,56.74,63.42,61.96,815792
