Combined_Rank,Pos_Adj_Rank,PlayerId,Name,Pos,FantasyPos,Team,Level,Age,Last_Season,Career_PA,Total_Weighted_PA,TOOLS_Score,ABILITY_Score,Current_Score,OVR_Score,Archetype,Archetype_Adj,Combined_Score,Pos_Bonus,Pos_Adj_Score,Discipline_Flag,Career_Disc_Flag,Disc_Composite_Z,Disc_Slope,Career_K%,Career_HRFB,Career_SBTalent,Hard_Floor_Flag,Below_OVR_Floor,Age_AA_Debut,AA_PPPAZ_Combo,AgeAA_Combo_Bonus,AgeAA_Combo_Flag_Label
73,76,821697,Reyli Mariano,2B,2B,LAD,R,19.0,2026,477,47.7,78.29,62.58,70.44,67.74,,0.0,69.09,1.5,70.59,,,0.893,-0.0479,0.19605870020964364,0.0770398322851153,0.08206981132075472,,False,,,0.0,
74,61,815304,Josh Adamczewski,SS,SS,MIL,AA,21.0,2026,962,321.95,62.3,77.91,70.1,67.93,Average,0.0,69.02,3.0,72.02,,,0.768,-0.0179,0.18523908523908522,0.13132120582120582,0.03016694386694387,,False,21.0,0.59,0.0,
75,135,828319,Marshall Toole,OF,OF,TB,A+,23.0,2026,649,166.76,76.29,67.77,72.03,65.93,Speed,0.0,68.98,-2.0,66.98,hard,,-0.1802,-0.1284,0.25314329738058555,0.09891217257318953,0.09837503852080125,,False,,,0.0,
76,139,821273,Edward Florentino,OF,OF,PIT,A+,19.0,2026,1016,242.14,74.72,67.7,71.21,66.54,Contact/Power,0.0,68.88,-2.0,66.88,whiff,,0.117,-0.102,0.23557086614173228,0.15643799212598425,0.041501968503937,,False,,,0.0,
77,43,808277,Miguel Rodríguez,C,C,BAL,A,20.0,2026,688,116.38,71.04,66.6,68.82,64.88,Pure Contact,2.0,68.85,5.0,73.85,,,1.5666,0.0054,0.12191860465116279,0.038276162790697676,0.01606438953488372,,False,,,0.0,
77,141,815897,Robert Arias,OF,OF,CLE,A,19.0,2026,568,81.5,62.06,72.8,67.43,66.27,Pure Contact,2.0,68.85,-2.0,66.85,,,1.6953,-0.053,0.1105281690140845,0.07660915492957746,0.11746549295774647,,False,,,0.0,
79,142,828824,Josiah Ragsdale,OF,OF,STL,AA,22.0,2026,594,251.34,63.53,74.04,68.78,68.77,Speed,0.0,68.78,-2.0,66.78,,,0.8517,-0.0651,0.18353535353535355,0.18961616161616163,0.06730909090909092,,False,22.0,1.12,0.0,
80,143,800540,Hector Osorio,CF,OF,TEX,A+,21.0,2026,1118,226.61,68.28,67.51,67.9,65.63,Pure Contact,2.0,68.76,-2.0,66.76,,,1.6516,-0.0168,0.12449016100178892,0.07818515205724508,0.02943166368515206,,False,,,0.0,
80,44,800522,Josue Briceño,C,C,DET,AAA,21.0,2026,1185,396.79,63.66,72.2,67.93,69.58,Contact/Power,0.0,68.76,5.0,73.76,,,0.6115,0.0073,0.1831809523809524,0.12209325044404974,0.003478330373001776,,False,20.0,0.05,0.0,
82,64,806964,Sebastian Walcott,SS,SS,TEX,AA,20.0,2026,1430,619.44,56.34,85.92,71.13,66.19,Speed/K-Risk,0.0,68.66,3.0,71.66,,,-0.1385,0.0833,0.2315210608424337,0.12401748251748251,0.04317048951048951,,False,18.0,0.52375,0.0,
83,65,801276,Juan Matheus,SS,SS,MIA,AAA,22.0,2026,1506,469.47,60.27,76.01,68.14,65.06,Pure Contact,2.0,68.6,3.0,71.6,,,0.7288,-0.0154,0.1772684246112238,0.06982352941176471,0.053381676808654493,,False,22.0,0.61,0.0,
83,65,827517,Kyle Lodise,SS,SS,CWS,A+,22.0,2026,638,216.92,69.39,72.21,70.8,66.4,Speed,0.0,68.6,3.0,71.6,,,0.1142,-0.078,0.2393730407523511,0.14650940438871474,0.06381191222570533,,False,,,0.0,
85,150,821181,Juneiker Caceres,OF,OF,CLE,A+,18.0,2026,794,151.11,66.25,72.93,69.59,63.54,Pure Contact,2.0,68.56,-2.0,66.56,,,1.5045,0.0097,0.11374639769452449,0.08318010075566751,0.023011964735516373,,False,,,0.0,
86,45,832420,Edian Espinal,C,C,DET,A+,21.0,2026,390,101.8,66.55,67.38,66.96,65.97,Pure Contact,2.0,68.46,5.0,73.46,,,1.3134,,0.15,0.09476923076923077,0.03626410256410256,,False,,,0.0,
87,69,829924,Miguel Welch,SS,SS,BOS,R,18.0,2026,387,38.7,73.96,65.27,69.61,67.14,,0.0,68.38,3.0,71.38,,,1.9423,0.083,0.1030232558139535,0.05089922480620155,0.10365633074935399,,False,,,0.0,
88,85,699130,Jadher Areinamo,2B,2B,TB,AAA,22.0,2026,2234,745.6,45.98,91.33,68.66,63.74,Pure Contact,2.0,68.2,1.5,69.7,,,0.895,-0.0218,0.13297212230215827,0.06664163669064749,0.029871762589928054,,False,21.0,1.03,0.0,
89,71,822743,Tyriq Kemp,SS,SS,KC,A+,23.0,2026,520,168.88,78.86,60.72,69.79,66.46,Speed,0.0,68.12,3.0,71.12,,,0.3086,-0.064,0.20723076923076922,0.14215384615384616,0.052545961538461534,,False,,,0.0,
90,72,800285,Enmanuel Tejeda,SS,SS,NYY,A+,21.0,2026,1280,273.42,67.23,67.75,67.49,64.72,Pure Contact,2.0,68.1,3.0,71.1,,,0.8515,-0.0323,0.17777343750000002,0.083903125,0.069039609375,,False,,,0.0,
91,164,814444,Will Turner,OF,OF,BOS,AA,23.0,2026,690,325.22,75.41,62.21,68.81,67.11,Average,0.0,67.96,-2.0,65.96,,,0.736,-0.0231,0.21333333333333332,0.12599420289855073,0.027405797101449275,,False,23.0,0.05,0.0,
92,86,805590,Dylan Palmer,2B,2B,PIT,A+,22.0,2026,472,135.4,65.39,65.86,65.62,66.22,Pure Contact,2.0,67.92,1.5,69.42,,,1.1858,,0.13588983050847459,0.0204978813559322,0.06910826271186442,,False,,,0.0,
93,109,811765,Deniel Ortiz,3B,3B,STL,AA,21.0,2026,715,266.95,65.4,72.83,69.12,66.4,Contact/Power,0.0,67.76,0.5,68.26,whiff,,-0.1016,0.0867,0.24769230769230768,0.13934965034965033,0.058835944055944056,,False,21.0,0.54,0.0,
94,110,675085,Jonathon Long,3B,3B,MIA,AAA,24.0,2026,1757,1404.42,65.0,72.6,68.8,66.55,Contact/Power,0.0,67.68,0.5,68.18,,,0.426,-0.0077,0.20263959390862946,0.17049576988155668,0.00338409475465313,,False,22.0,1.71,0.0,
95,88,823727,Carlos  Garces,IF,2B,CLE,R,19.0,2026,493,49.3,75.0,63.33,69.16,66.16,,0.0,67.66,1.5,69.16,,,1.6992,-0.0408,0.11419878296146044,0.023991886409736308,0.07632576064908722,,False,,,0.0,
96,175,827636,Trent Youngblood,OF,OF,AZ,AA,24.0,2026,829,287.31,71.94,59.53,65.74,65.52,Pure Contact,2.0,67.63,-2.0,65.63,,,1.0651,-0.053,0.16454685099846392,0.08762002412545235,0.05298612786489747,,False,24.0,0.54,0.0,
