PlayerId,Name,Career_PA_Proj,Career_PA_Proj_Adj,Career_PA_P25,Career_PA_P75,MaxEV_proj,MaxEV_proj_n,MaxEV_proj_conf
821073,Jirvin Morillo,977.0,977.0,0.0,1033.0,109.4,13.0,58.4
822743,Tyriq Kemp,90.0,86.0,0.0,0.0,107.1,17.0,69.8
829773,Yovanny Duran,110.0,101.0,0.0,0.0,103.8,9.0,61.1
815816,Brady Ebel,0.0,0.0,0.0,0.0,105.0,21.0,69.9
690961,Enrique Bradfield Jr.,588.0,588.0,0.0,0.0,106.6,11.0,66.5
808365,Dameury Pena,833.0,833.0,0.0,1266.0,109.0,6.0,70.6
829939,Jhorman Bravo,85.0,55.0,0.0,0.0,105.7,9.0,51.6
683679,Jesus Rodriguez,450.0,450.0,0.0,134.0,108.4,10.0,72.6
694991,Mitch Jebb,438.0,438.0,0.0,141.0,107.4,12.0,72.9
815608,Wyatt Sanford,0.0,0.0,0.0,0.0,106.9,17.0,50.7
675085,Jonathon Long,699.0,699.0,0.0,546.0,110.6,14.0,74.7
800724,Eric Bitonti,152.0,152.0,0.0,0.0,108.8,13.0,62.3
695722,Boston Smith,190.0,154.0,0.0,289.0,110.0,16.0,38.9
699043,Yamal Encarnacion,254.0,254.0,0.0,0.0,106.8,6.0,64.6
829077,Kenly Hunter,249.0,164.0,0.0,0.0,104.9,7.0,60.1
821139,Luis De La Cruz,314.0,314.0,0.0,0.0,108.7,12.0,66.3
825582,Nate George,629.0,584.0,0.0,0.0,107.8,12.0,64.5
806965,Starlyn Caba,6.0,6.0,0.0,0.0,105.6,10.0,68.8
821041,Roldy Brito,559.0,559.0,0.0,531.0,108.0,10.0,62.4
694224,Gabriel Gonzalez,537.0,537.0,0.0,211.0,111.0,7.0,78.5
829093,Harold Rivas,497.0,391.0,0.0,0.0,108.5,12.0,69.8
829997,Ricardo Romero,189.0,153.0,0.0,0.0,,,
829079,Djean Macares,122.0,107.0,0.0,0.0,103.6,5.0,63.7
804446,Eddie Micheletti Jr.,784.0,784.0,0.0,941.0,109.4,11.0,71.9
807726,John Peck,1032.0,1032.0,0.0,1530.0,109.7,21.0,67.8
807987,Alessander De La Cruz,1172.0,1172.0,0.0,1586.0,112.0,15.0,71.3
821648,Wilberson De Pena,1201.0,1201.0,0.0,1720.0,110.7,22.0,67.6
801523,Chris Suero,157.0,157.0,0.0,0.0,107.7,11.0,61.3
823727,Carlos  Garces,0.0,0.0,0.0,0.0,,,
699712,Raylin Heredia,111.0,111.0,0.0,0.0,110.8,7.0,72.2
800285,Enmanuel Tejeda,66.0,66.0,0.0,0.0,106.9,17.0,71.0
693850,Kala'i Rosario,140.0,140.0,0.0,0.0,111.4,9.0,73.8
800266,Yordalin Peña,230.0,230.0,0.0,340.0,110.3,12.0,78.5
805953,Anthony Huezo,112.0,112.0,0.0,0.0,109.3,15.0,66.7
806982,Esmil Valencia,377.0,377.0,0.0,0.0,109.7,6.0,73.3
699115,Carlos Jorge,64.0,64.0,0.0,0.0,105.9,12.0,68.8
823658,Daniel Dickinson,0.0,0.0,0.0,0.0,104.1,15.0,64.2
800204,Derek Bernard,198.0,198.0,0.0,0.0,109.0,11.0,70.2
702491,Mitch Voit,184.0,184.0,0.0,0.0,108.1,11.0,57.3
821765,Jesus Pinto,209.0,209.0,0.0,0.0,109.8,7.0,79.7
690991,Mac Horvath,331.0,331.0,0.0,176.0,107.5,15.0,53.8
811287,Carson Roccaforte,312.0,312.0,0.0,180.0,109.2,17.0,76.9
807276,Dante Nori,140.0,140.0,0.0,77.0,107.3,8.0,79.8
801276,Juan Matheus,594.0,594.0,0.0,1130.0,108.4,17.0,72.8
806263,Brandon Winokur,179.0,179.0,0.0,0.0,110.1,10.0,76.4
695508,Cam Cauley,228.0,228.0,0.0,0.0,110.1,10.0,74.7
821688,Jemone Nuel,0.0,0.0,0.0,0.0,104.3,6.0,57.0
821782,Andreimi Antunez,961.0,961.0,0.0,1255.0,109.1,12.0,67.9
814430,Brett Callahan,411.0,411.0,0.0,343.0,109.8,15.0,77.7
837836,Juan Cespedes,5.0,2.0,0.0,0.0,,,
691627,Ricardo Olivar,603.0,603.0,0.0,895.0,109.4,16.0,73.0
806071,Jonny Farmelo,55.0,55.0,0.0,0.0,109.4,14.0,76.2
702693,Jaison Chourio,337.0,337.0,0.0,0.0,108.1,14.0,72.2
821107,Yairo Padilla,450.0,406.0,0.0,0.0,108.8,13.0,64.3
696135,Kahlil Watson,101.0,101.0,0.0,0.0,110.1,14.0,77.4
808516,Andres Valor,11.0,11.0,0.0,0.0,109.6,7.0,69.9
832420,Edian Espinal,642.0,443.0,0.0,370.0,108.0,12.0,70.4
815909,Luis Cova,509.0,509.0,0.0,0.0,105.5,10.0,67.2
804109,Aiva Arquette,958.0,634.0,0.0,1893.0,109.6,23.0,66.2
802469,Travis Honeyman,449.0,449.0,0.0,658.0,107.7,15.0,76.0
701373,Isaiah Barkett,1221.0,923.0,0.0,1630.0,107.7,13.0,69.8
806230,Sammy Stafura,151.0,151.0,0.0,0.0,107.4,16.0,69.2
821187,Juan Ortuno,5.0,5.0,0.0,0.0,104.6,5.0,70.0
801954,Beau Ankeney,268.0,246.0,0.0,184.0,112.2,11.0,67.9
825234,Cesar Mateo,184.0,83.0,0.0,0.0,,,
801590,Aaron Parker,510.0,510.0,0.0,1058.0,110.4,17.0,67.3
800276,Juan Villavicencio,15.0,15.0,0.0,0.0,107.9,12.0,73.4
806191,Tai Peete,233.0,233.0,0.0,0.0,111.4,12.0,74.8
829033,Elian Peña,93.0,93.0,0.0,0.0,107.8,14.0,69.4
821158,Jonathan Rangel,105.0,89.0,0.0,0.0,,,
806984,Arnaldo Lantigua,52.0,52.0,0.0,0.0,,,
829866,Junior Suriel,391.0,242.0,0.0,0.0,107.3,7.0,63.9
830000,Gustavo Baptista,117.0,86.0,0.0,0.0,108.0,13.0,58.2
822487,Zach MacDonald,12.0,12.0,0.0,0.0,,,
808535,John Gil,70.0,70.0,0.0,0.0,105.6,16.0,72.4
694966,Brayden Taylor,26.0,26.0,0.0,0.0,,,
829037,Kevin Alvarez,1209.0,1209.0,0.0,1895.0,110.0,17.0,79.2
692150,Émilien Pitre,364.0,364.0,0.0,141.0,107.4,13.0,73.1
806210,Alfonsin Rosario,31.0,31.0,0.0,0.0,,,
702607,Dakota Jordan,810.0,810.0,0.0,1560.0,111.8,24.0,67.9
825616,Leonard Rijo,104.0,70.0,0.0,0.0,,,
801194,Max Anderson,880.0,880.0,0.0,1237.0,108.9,12.0,70.5
836353,Francisco Renteria,894.0,422.0,0.0,406.0,112.0,9.0,33.3
703160,Yasser Mercedes,124.0,124.0,0.0,0.0,108.9,10.0,70.8
816111,Tate Southisene,0.0,0.0,0.0,0.0,106.7,15.0,69.4
821814,Yojanser Calzado,105.0,98.0,0.0,0.0,,,
829670,Brayden Smith,145.0,138.0,0.0,0.0,108.0,13.0,68.4
821113,Cesar Lugo,0.0,0.0,0.0,0.0,,,
702239,Colin Tuft,4.0,4.0,0.0,0.0,105.4,12.0,61.3
807647,Pablo Nunez,0.0,0.0,0.0,0.0,,,
808545,Mario Baez,638.0,638.0,0.0,0.0,105.7,7.0,71.1
700321,Andy Perez,1795.0,1795.0,0.0,3218.0,107.7,16.0,76.1
702610,Ike Irish,451.0,383.0,0.0,622.0,110.3,20.0,66.8
830406,Alan Angulo,410.0,280.0,0.0,0.0,107.6,6.0,61.7
814696,Jaron Elkins,39.0,39.0,0.0,0.0,108.1,14.0,66.0
808245,Starlyn Nunez,740.0,740.0,0.0,741.0,109.1,15.0,73.9
832703,Nauris De La Cruz,17.0,11.0,0.0,0.0,,,
828519,Braylon Whitaker,139.0,110.0,0.0,0.0,108.4,5.0,73.3
821128,Eriel Dihigo,56.0,56.0,0.0,0.0,,,
699126,Gregory Barrios,710.0,710.0,0.0,141.0,106.8,7.0,68.4
695372,Jake Gelof,481.0,481.0,0.0,374.0,109.7,17.0,69.9
823719,Ramiro Dominguez,479.0,479.0,0.0,455.0,108.5,11.0,73.0
694371,Tommy Troy,366.0,366.0,0.0,0.0,108.8,7.0,79.0
829875,Jeury Ramirez,669.0,387.0,0.0,520.0,108.6,11.0,68.4
684852,Geraldo Quintero,113.0,113.0,0.0,0.0,106.6,16.0,77.5
821147,Josue Brito,1.0,1.0,0.0,0.0,115.5,24.0,0.9
820943,Danny Cancro,86.0,78.0,0.0,0.0,,,
701727,Bryce Martin-Grudzielanek,0.0,0.0,0.0,0.0,107.3,14.0,74.5
821260,Christopher Alvarado,76.0,73.0,0.0,0.0,106.4,6.0,64.5
807727,Charles McAdoo,721.0,721.0,0.0,651.0,109.9,15.0,70.5
821075,Merphy Hernandez,161.0,154.0,0.0,0.0,105.9,14.0,44.7
695930,Frederick Bencosme,506.0,506.0,0.0,382.0,104.0,10.0,77.7
695521,Gavin Conticello,420.0,420.0,0.0,383.0,110.0,10.0,77.1
809143,Kyle Walker,157.0,150.0,0.0,0.0,107.0,10.0,65.8
811765,Deniel Ortiz,306.0,306.0,0.0,0.0,110.4,16.0,66.3
814522,Caden Kendle,1344.0,1344.0,0.0,2134.0,109.8,19.0,75.2
805207,Caden Bodine,801.0,801.0,0.0,1491.0,109.0,11.0,66.4
820969,Yordani Martinez,0.0,0.0,0.0,0.0,,,
821138,Tavano Baker,191.0,168.0,0.0,0.0,,,
703149,Roderick Arias,172.0,172.0,0.0,0.0,109.0,8.0,71.5
821199,Moises Polanco,43.0,40.0,0.0,0.0,106.9,6.0,64.2
814528,Sam Kulasingam,296.0,296.0,0.0,204.0,107.4,15.0,74.1
808684,Javier Mogollon,435.0,435.0,0.0,138.0,109.1,12.0,57.8
808239,Gabriel Terrero,251.0,216.0,0.0,86.0,107.1,16.0,57.4
829715,Sandy Presbot,0.0,0.0,0.0,0.0,103.3,7.0,51.9
806958,Felnin Celesten,268.0,268.0,0.0,0.0,108.3,12.0,76.4
694070,Yhoswar Garcia,274.0,274.0,0.0,0.0,105.1,13.0,63.5
829975,Daniel Rodriguez,23.0,17.0,0.0,0.0,105.4,9.0,65.3
821763,Hector Campusano,6.0,6.0,0.0,0.0,,,
829949,Sebastian Blanco,171.0,171.0,0.0,0.0,107.5,6.0,76.0
691369,Allan Castro,358.0,358.0,0.0,0.0,110.7,5.0,84.4
837864,Leanders Matos,537.0,245.0,0.0,0.0,110.3,7.0,50.1
692562,Alexis Hernandez,326.0,326.0,0.0,484.0,108.6,13.0,77.7
686404,Wuilfredo Antunez,691.0,691.0,0.0,1089.0,110.5,15.0,80.8
829053,Diego Tornes,97.0,52.0,0.0,0.0,,,
813844,Will Bush,15.0,15.0,0.0,0.0,108.8,14.0,63.2
821791,Angel Brachi,313.0,313.0,0.0,0.0,,,
691437,Adrian Pinto,1271.0,1271.0,0.0,1622.0,107.9,18.0,70.6
804114,Luke Pelzer,460.0,447.0,0.0,636.0,108.5,11.0,76.2
814444,Will Turner,13.0,13.0,0.0,0.0,107.1,10.0,62.8
815220,Aldo Gaxiola,129.0,129.0,0.0,0.0,111.5,6.0,77.8
829986,Jose Riera,115.0,91.0,0.0,0.0,105.6,9.0,70.6
829976,Manuel Campos,321.0,294.0,0.0,0.0,,,
829888,Anthony Santa Cruz de Oviedo,525.0,447.0,0.0,0.0,110.9,6.0,75.6
824615,Connor Hujsak,570.0,570.0,0.0,777.0,110.2,13.0,67.4
828557,Blaine Bullard,4.0,4.0,0.0,0.0,109.2,6.0,74.1
824028,Gage Miller,459.0,459.0,0.0,495.0,108.5,11.0,75.9
830454,Leni Done,214.0,172.0,0.0,0.0,105.9,7.0,54.5
813715,Khadim Diaw,279.0,279.0,0.0,0.0,107.2,14.0,72.9
694410,LuJames Groover,221.0,221.0,0.0,0.0,109.1,8.0,77.2
827719,Jake Munroe,1595.0,1541.0,0.0,2418.0,110.4,18.0,76.5
830046,Santiago Almao,136.0,93.0,0.0,0.0,,,
828237,Cooper Flemming,1139.0,1059.0,0.0,1014.0,108.8,17.0,77.9
836598,Jaider Suárez,6.0,2.0,0.0,0.0,,,
800433,Elis Cuevas,0.0,0.0,0.0,0.0,105.7,13.0,66.9
800393,Yeremy Cabrera,284.0,284.0,0.0,0.0,108.5,12.0,77.4
