year,source,team_id,rank,mlb_rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
2026,BA,4,15,,Juaron Watts-Brown,P,6-3,190,R,R,2002-02-23,"Visalia,CA",AAA,,2022-2026,2023-  3-  89-TOR,Minors,,
2026,BA,4,16,,Thomas Sosa,CF-RF,6-3,160,L,L,2005-01-18,"Villa Mella,DR",AA,,2022-2026,2022-  UDFA  -BAL,Minors,,
2026,BA,4,17,,Joseph Dzierwa,P,6-8,200,R,L,2004-04-21,"Toledo,OH",AA,,2023-2026,2025-  2-  58-BAL,Minors,,
2026,BA,4,18,,Wilfri De La Cruz,SS,6-2,170,B,R,2007-09-15,"San Francisco de Macoris,DR",Rk,,2025-2026,2025-  UDFA  -CHN,Minors,,
2026,BA,4,19,,Jordan Sanchez,RF-CF,6-1,176,L,L,2005-10-09,"Matanzas,CU",A,,2024-2026,2023-  UDFA  -BAL,Minors,,
2026,BA,4,20,,Anthony Nunez,P,6-2,225,B,R,2001-07-10,"Miami,FL",MLB,2026-2026,2019-2026,2019- 29- 863-SDN,Minors,,
2026,BA,4,21,,JT Quinn,P,6-6,210,R,R,2004-04-22,"Tampa,FL",A+,,2023-2026,2025-  2-  69-BAL,Minors,,
2026,BA,4,22,,Wellington Aracena,P,6-3,180,R,R,2004-12-27,"Mao,DR",A+,,2022-2026,2022-  UDFA  -NYN,Minors,,
2026,BA,4,23,,Ethan Anderson,C-1B,6-2,215,B,R,2003-09-21,"Honolulu,HI",AA,,2022-2026,2024-  2-  61-BAL,IL-7,,
2026,BA,4,24,,Stiven Martinez,CF,6-4,198,R,R,2007-08-08,"Puerto Plata,DR",A,,2024-2026,2024-  UDFA  -BAL,Minors,,
2026,BA,4,25,,Joshua Liranzo,3B,6-3,180,R,R,2006-08-25,"Puerto Plata,DR",A,,2023-2026,2023-  UDFA  -BAL,Minors,,
2026,BA,4,26,,Vance Honeycutt,CF-RF,6-3,205,R,R,2003-05-17,"Salisbury,NC",A+,,2022-2026,2024-  1-  22-BAL,IL-7,,
