Rank,Name,Team,Pos,Age,Report
95,Chase Harlan,LAD,3B,19.1,19.6/20.6 K%/BB% with a 25.8% whiff% in 22 games at Single-A is great to see. The power will be there. Great start
96,Kevin Alvarez,HOU,OF,18.3,Holding his own at Single-A with a 97 wRC+. Lack of walks and high groundball rate shows there is a lot of refinement still needed here
97,Wandy Asigen,NYM,SS,16.8,Yet to debut with the DSL season starting in early June I believe
98,Abimelec Ortiz,WSH,1B,24.2,Once again hitting really well at Triple-A and the underlying numbers are even better than the surface stats. You have to think he gets a shot soon. He makes for a really good stash now in leagues where he is available
99,Kahlil Watson,CLE,OF,23,"32.9% whiff% shows the hit tool risk is still there, but with how hard he's crushing the ball (93.6 MPH EV), lifting (22.1 degree launch) and running (9 steals), that actually isn't that bad. The fantasy upside is so fun here, but the hit tool risk is still making me a bit hesitant"
100,Eduardo Tait,MIN,C,19.8,Hitting for power at High-A with 5 homers but the hit tool risk is showing with a .233 BA and 34.9% whiff%
101,Andrew Fischer,MIL,1B/3B,21.11,"40% whiff% with a 38.6% K% at High-A is extremely concerning. He's hitting homers and performing well, but the hit tool is way worse than hoped for"
102,Kayson Cunningham,ARI,SS,19.1,"The pro debut steered us wrong and his elite hit tool rep is shining through with a 13.2/16.0 K%/BB% in 23 games at Single-A, but it comes with 0 homers and 1 steal. I'm in on hit tool first guys this year though, so the fuck the power/speed I guess hah"
103,Brody Hopkins,TBR,RHP,24.3,4.88 ERA with a 24.2/20.2 K%/BB% in 27.2 IP in Triple-A. He might have a wee bit of a walk issues. Stuff is still filthy but it's too filthy for it's own good because he has no idea where it's going
104,Miguel Sime,WSH,RHP,19,"One of my top FYPD Targets who was a true sleeper, and he's woken everybody up with an upper 90's fastball and whiff machine breakers. It's led to a 3.07 ERA with a 54.2/18.6 K%/BB% in 14.2 IP. As you can see, the control is still a major risk and so is a third pitch. Even if he did end up in the pen though, he could be an elite closer."
