PlayerId,MLBAM_ID,Season,Name,Team,Level,League,Age,G,GS,IP,ER,K,BB,IBB,HRA,H,HBP,BF,W,L,SV,SVO,HLD,BS,CG,SHO,WP
2492,435278,2006,Jermaine Van Buren,BOS,AAA,International League,25,33,0,45.333333333333336,15,46,18,0,2,37,2,185,4,0,16,20,1,4,0,0,2
3523,452298,2006,Kevin Cameron,MIN,AAA,International League,26,40,0,66.33333333333333,22,65,26,1,2,53,3,279,6,4,9,15,4,6,0,0,3
8214,430657,2006,Cha Seung Baek,SEA,AAA,Pacific Coast League,26,24,24,147.0,49,103,37,0,17,133,6,602,12,4,0,0,0,0,0,0,5
6166,434137,2006,Logan Kensing,MIA,AAA,Pacific Coast League,23,13,0,18.0,6,18,5,0,2,11,0,66,1,1,2,4,3,2,0,0,1
2613,444312,2006,Juan Lara,CLE,AAA,International League,25,13,0,15.0,5,15,3,0,1,17,1,65,1,1,1,2,1,1,0,0,1
4971,477569,2006,Fernando Salas,SLT,AAA,Mexican League,21,29,1,47.666666666666664,16,38,20,3,5,40,3,200,8,2,0,2,2,2,0,0,0
2819,455047,2006,Jeff Ridgway,TB,AAA,International League,25,34,0,38.666666666666664,13,38,13,0,3,35,2,166,1,4,0,0,4,0,0,0,2
4831,449060,2006,Clay Rapada,CHC,AAA,Pacific Coast League,25,28,0,23.666666666666668,8,21,15,1,0,27,2,109,3,2,0,0,11,0,0,0,3
7016,425539,2006,Hung-Chih Kuo,LAD,AAA,Pacific Coast League,24,23,9,53.0,18,63,22,1,5,52,0,223,4,3,1,1,2,0,0,0,1
3545,446624,2006,Charlie Haeger,CWS,AAA,International League,22,26,25,170.0,58,131,78,3,9,143,12,718,14,6,0,0,0,0,2,0,15
456514,456514,2006,Mark Alexander,LAD,AAA,Pacific Coast League,25,12,0,14.333333333333334,5,13,10,0,0,11,1,63,2,1,1,1,0,0,0,0,3
2575,434565,2006,Robinson Tejeda,TEX,AAA,Pacific Coast League,24,15,15,80.0,28,79,42,0,7,61,3,336,6,2,0,0,0,0,0,0,4
462418,462418,2006,Steven Kelly,CIN,AAA,International League,26,12,10,68.33333333333333,24,46,29,0,7,68,3,298,4,7,0,0,0,0,0,0,1
3106,464254,2006,Emiliano Fruto,SEA,AAA,Pacific Coast League,22,28,0,45.333333333333336,16,55,21,0,1,33,6,193,1,3,10,12,1,2,0,0,4
473209,473209,2006,Mauricio Tequida,MXO,AAA,Mexican League,24,58,0,62.0,22,26,17,3,2,70,2,261,5,4,12,14,17,2,0,0,0
7266,451256,2006,Kurt Birkins,BAL,AAA,International League,25,5,5,25.333333333333332,9,19,11,0,2,20,1,101,1,3,0,0,0,0,0,0,0
482002,482002,2006,Ivan Cordova,SLP,AAA,Mexican League,22,9,1,19.666666666666668,7,6,9,1,1,14,2,79,0,0,0,0,0,0,0,0,0
3990,450172,2006,Edinson Volquez,TEX,AAA,Pacific Coast League,22,21,21,120.66666666666667,43,130,72,0,9,86,4,509,6,6,0,0,0,0,0,0,3
4544,434672,2006,Chris Smith,BOS,AAA,International League,25,7,6,33.666666666666664,12,23,9,0,2,33,1,144,1,1,0,0,0,0,0,0,1
468523,468523,2006,Salvador Robles,MXO,AAA,Mexican League,20,23,19,112.0,40,84,36,1,8,119,3,476,11,4,0,0,1,0,0,0,5
1902,430911,2006,David Aardsma,CHC,AAA,Pacific Coast League,24,29,0,36.333333333333336,13,36,15,2,1,31,0,150,2,3,8,13,3,5,0,0,3
465448,465448,2006,Saul Montoya,SLP,AAA,Mexican League,25,38,0,53.0,19,26,28,2,0,50,6,236,3,0,0,1,10,1,0,0,1
