key_mlbam,key_fangraphs
444728,
819853,
643319,
811627,
683647,
445835,
624530,
592297,
833497,
276537,163
123105,1012839
801433,
450708,
822424,
825549,
570063,
457821,4661
688902,
124559,1014235
672110,
669968,
572738,
801826,
545717,
451433,
672590,
821938,
122993,1012732
438884,
669955,
454415,
114952,1004856
599772,
474903,
699734,
627462,
443172,
621051,20353
115988,1005866
453468,
547967,
818128,
111738,1001697
452133,
112615,1002559
572055,
437748,
821791,
114144,1004064
801969,
450357,
111607,1001555
462489,
460847,
701427,
817799,
701653,
528570,
592281,
517052,
456200,
532692,
661408,
671287,
657001,
811205,
489298,
460767,
663634,
599706,
807373,
650971,
568670,
121489,1011238
110442,1000422
663575,
514893,
829324,
689878,
683302,
818007,
502084,
692503,
425817,1688
527011,
830472,
669219,
473849,
657117,16309
806698,
809513,
822373,
114944,1004865
695055,
430631,2187
565155,
118110,1007944
430838,1876
813957,
493240,
457938,
592351,14916
471510,
824632,
693764,
676999,
811172,
448347,
463185,
685776,
121806,1011556
475763,
443301,
687114,
819891,
691401,
593366,
622210,13821
437491,
695034,
459774,
116747,658
800679,
675237,
438133,
623507,17737
482632,
670177,
816274,
120573,1010343
123352,1013074
672479,
838656,
834594,
658190,
607252,
115796,1005680
813749,
119061,1008881
686457,
437036,
568140,
592135,13360
804986,
443852,
642140,
543581,
451532,5842
807358,
570921,
430932,
689465,
696098,
459874,
492653,
518740,
650829,
122585,1012318
529774,
119062,1008880
817286,
691013,
118599,1008418
828423,
808703,
531173,
466537,
688434,
569418,
823649,
822740,
122783,1012528
441500,
682724,
816429,
828460,
830369,
571847,
441493,
