PlayerId,MLBAM_ID,Season,Level,Name,Chase%,Z-Contact%,PullAir%,Whiff%,OutsidePitches,OutsideSwings,InZonePitches,InZoneSwings,InZoneContacts,BattedBalls,AirBalls,PullAirBalls,TotalPitches,SwStr,Games
681433,681433,2026,AAA,Noah Cardenas,0.0,1.0,0.5,0.0,6,0,8,4,4,2,1,1,14,0,1
681439,681439,2026,AAA,Zach Morgan,0.545,1.0,0.0,0.143,11,6,13,8,8,5,1,0,24,2,2
24765,681526,2026,AAA,Bryan Lavastida,0.333,0.833,0.333,0.143,3,1,7,6,5,3,2,1,10,1,1
24770,681546,2026,AAA,James Outman,0.125,0.538,0.0,0.533,16,2,18,13,7,1,0,0,34,8,2
681581,681581,2026,AAA,Andy Weber,0.25,0.875,0.0,0.3,8,2,14,8,7,3,1,0,22,3,2
25005,681909,2026,AAA,Justin Dean,0.333,1.0,0.0,0.143,18,6,13,8,8,4,1,0,31,2,2
25040,681962,2026,AAA,Vinny Capra,0.312,1.0,1.0,0.429,16,5,4,2,2,1,1,1,20,3,1
25183,682183,2026,AAA,Drew Avans,0.3,0.5,0.0,0.286,10,3,9,4,2,1,0,0,19,2,2
20626,682515,2026,AAA,Logan Porter,0.091,1.0,0.667,0.0,11,1,15,7,7,3,2,2,26,0,2
25616,682617,2026,AAA,Marco Luciano,0.1,0.75,0.5,0.3,20,2,12,8,6,4,2,2,32,3,2
26517,682622,2026,AAA,Noelvi Marte,0.385,1.0,0.0,0.3,13,5,8,5,5,5,1,0,21,3,2
682633,682633,2026,AAA,Eduardo Garcia,0.364,0.8,0.0,0.286,11,4,16,10,8,3,1,0,27,4,2
25971,682634,2026,AAA,Kevin Alcántara,0.409,0.9,0.333,0.211,22,9,12,10,9,3,2,1,34,4,2
682679,682679,2026,AAA,Dayan Frias,0.538,0.909,0.25,0.167,13,7,13,11,10,4,2,1,26,3,2
682818,682818,2026,AAA,Yohendrick Piñango,0.143,0.571,,0.444,14,2,12,7,4,0,0,0,26,4,2
25621,682868,2026,AAA,Bryan Ramos,0.3,1.0,0.0,0.0,10,3,5,2,2,2,0,0,15,0,1
682947,682947,2026,AAA,Jose Ramos,0.25,0.5,0.0,0.5,16,4,7,4,2,4,1,0,23,4,2
682983,682983,2026,AAA,Jud Fabian,0.0,0.636,0.667,0.364,23,0,20,11,7,3,2,2,43,4,2
27497,682997,2026,AAA,Tyler Callihan,0.273,0.429,0.0,0.5,11,3,10,7,3,2,0,0,21,5,1
683006,683006,2026,AAA,Chris Newell,0.4,0.778,0.2,0.571,30,12,18,9,7,5,2,1,48,12,3
683079,683079,2026,AAA,Omar Martinez,0.091,0.4,,0.667,11,1,10,5,2,0,0,0,21,4,1
25980,683090,2026,AAA,Matthew Lugo,0.4,0.625,0.5,0.417,10,4,14,8,5,2,1,1,24,5,2
683344,683344,2026,AAA,Homer Bush Jr.,0.462,0.429,0.0,0.462,13,6,11,7,3,3,1,0,24,6,2
683454,683454,2026,AAA,Brayan Buelvas,0.211,0.667,0.25,0.5,19,4,12,6,4,4,1,1,31,5,2
683609,683609,2026,AAA,Victor Duarte,0.278,0.818,1.0,0.312,18,5,19,11,9,1,1,1,37,5,2
683610,683610,2026,AAA,Leandro Pineda,0.273,0.857,0.0,0.1,11,3,11,7,6,5,1,0,22,1,2
684715,684715,2026,AAA,Nic Kent,0.364,1.0,0.5,0.2,11,4,10,6,6,2,1,1,21,2,2
685087,685087,2026,AAA,Jordan Nwogu,0.2,0.333,0.0,0.75,5,1,5,3,1,1,0,0,10,3,1
685274,685274,2026,AAA,Braiden Ward,0.312,1.0,0.0,0.182,16,5,14,6,6,2,0,0,30,2,2
25855,685301,2026,AAA,Matt Gorski,0.276,0.818,0.25,0.316,29,8,31,11,9,4,2,1,60,6,3
685382,685382,2026,AAA,Andrew Navigato,0.0,1.0,0.0,0.0,3,0,3,2,2,2,0,0,6,0,1
26244,685744,2026,AAA,Kenedy Corona,0.455,1.0,0.0,0.231,11,5,17,8,8,1,0,0,28,3,2
686404,686404,2026,AAA,Wuilfredo Antunez,0.2,0.833,0.25,0.25,10,2,13,6,5,4,2,1,23,2,2
25475,686482,2026,AAA,Logan Driscoll,0.235,1.0,,0.6,17,4,7,1,1,0,0,0,24,3,1
686523,686523,2026,AAA,Peyton Wilson,0.556,1.0,0.0,0.5,9,5,1,1,1,1,0,0,10,3,1
26295,686554,2026,AAA,Oliver Dunn,0.286,0.857,0.0,0.222,7,2,10,7,6,3,1,0,17,2,1
25543,686676,2026,AAA,Korey Lee,0.143,0.8,0.0,0.333,7,1,7,5,4,2,1,0,14,2,1
25660,686823,2026,AAA,Will Brennan,0.357,0.889,0.333,0.214,14,5,14,9,8,3,1,1,28,3,2
27690,686894,2026,AAA,Joey Wiemer,0.167,1.0,0.0,0.0,6,1,5,3,3,3,1,0,11,0,1
686912,686912,2026,AAA,Maxwell Romero Jr.,0.25,1.0,0.0,0.5,8,2,4,2,2,1,0,0,12,2,1
686960,686960,2026,AAA,Nate Baez,0.0,1.0,0.333,0.0,3,0,8,5,5,3,1,1,11,0,1
687069,687069,2026,AAA,Josh Rivera,0.2,0.4,0.0,0.5,5,1,7,5,2,1,0,0,12,3,1
687208,687208,2026,AAA,Nathan Hickey,0.143,1.0,0.0,0.077,14,2,19,11,11,5,1,0,33,1,2
26224,687231,2026,AAA,Darell Hernaiz,0.25,0.833,0.0,0.125,8,2,8,6,5,5,4,0,16,1,2
687282,687282,2026,AAA,Gabriel Rincones Jr.,0.375,0.455,0.0,0.471,16,6,16,11,5,3,1,0,32,8,2
687284,687284,2026,AAA,Thomas Gavello,0.375,0.75,,0.571,8,3,10,4,3,0,0,0,18,4,1
31855,687515,2026,AAA,Colby Thomas,0.222,0.667,0.333,0.455,9,2,13,9,6,3,2,1,22,5,2
687605,687605,2026,AAA,Andrew Pinckney,0.222,0.75,0.0,0.2,9,2,16,8,6,4,0,0,25,2,2
687627,687627,2026,AAA,Kody Huff,0.25,0.75,0.0,0.364,12,3,18,8,6,2,0,0,30,4,2
687714,687714,2026,AAA,Jackson Cluff,0.286,0.75,0.5,0.333,7,2,7,4,3,2,1,1,14,2,1
687751,687751,2026,AAA,Cortland Lawson,0.5,0.5,0.0,0.667,2,1,4,2,1,1,1,0,6,2,1
25505,687799,2026,AAA,Cade Marlowe,0.417,1.0,0.667,0.071,12,5,12,9,9,3,2,2,24,1,2
688005,688005,2026,AAA,Francisco Urbaez,0.125,0.75,0.0,0.4,8,1,9,4,3,1,1,0,17,2,1
688457,688457,2026,AAA,Gavin Cross,0.2,0.5,,0.25,10,2,8,2,1,0,0,0,18,1,1
