Season,Name,Team,Level,Age,wRC+,BB/K,wOBA,SwStr%,HR/FB,K%,GB/FB,ISO,PA,BB/K,PlayerId,MinorMasterId,NameASCII,MLBAMID,PlayerTeamId
2026,"Tommy Troy","ARI","AAA",24,108.39047955552623,0.52,0.3882018178701401,0.10992908,0.083333333,0.243902439,1.638888888,0.142045455,205,0.52,"33279","sa3022561","Tommy Troy",694371,15
2026,"Matt Shaw","CHC","AAA",24,93.89151118384004,1,0.34427841007709503,0.10169492,0,0.125,2,0.071428572,16,1,"33322","sa3022615","Matt Shaw",807713,17
2026,"Charles McAdoo","TOR","AAA",24,125.87623554935128,0.696428571,0.3793695599382574,0.08268059,0.161764705,0.203636363,1.073529411,0.19047619,275,0.696428571,"33323","sa3022823","Charles McAdoo",807727,14
2026,"Drew Cavanaugh","SFG","AAA",24,165.8286485845424,0.529411764,0.4516923688624027,0.08318264,0.23076923,0.248175182,1,0.241071429,137,0.529411764,"33380","sa3022682","Drew Cavanaugh",701852,30
2026,"Drew Cavanaugh","SFG","AA",24,161.95633626805048,0.809523809,0.4316586209147164,0.08564232,0.214285714,0.233333333,1.285714285,0.235294118,90,0.809523809,"33380","sa3022682","Drew Cavanaugh",701852,30
2026,"Bryce Eldridge","SFG","AAA",21,155.8062833799425,0.487804878,0.4355175100705203,0.13485114,0.208333333,0.299270072,1.041666666,0.184210526,137,0.487804878,"33390","sa3022757","Bryce Eldridge",805811,30
2026,"Cooper Pratt","MIL","AAA",21,99.09899452129997,0.918918918,0.33824502497680425,0.0628866,0.122448979,0.141762452,1.857142857,0.145454546,261,0.918918918,"33530","sa3022867","Cooper Pratt",806198,23
2026,"Dylan Crews","WSN","AAA",24,101.72791012547873,0.431818181,0.3469060293652795,0.13884786,0.135135135,0.24858757,1.324324324,0.174193548,177,0.431818181,"33541","sa3022882","Dylan Crews",686611,24
2026,"Kyle Teel","CHW","AAA",24,166.27056667773886,0.428571428,0.4620268257225261,0.096,0.285714285,0.205882352,1.428571428,0.225806451,34,0.428571428,"33549","sa3022886","Kyle Teel",691019,4
2026,"LuJames Groover","ARI","AAA",24,115.53800919952913,0.822222222,0.3997370473636213,0.07246377,0.045454545,0.172413793,0.954545454,0.126760564,261,0.822222222,"33552","sa3022887","LuJames Groover",694410,15
2026,"Colt Emerson","SEA","AAA",20,103.83447165209208,0.369565217,0.36179568753185043,0.12613982,0.28,0.272189349,1.96,0.213793104,169,0.369565217,"33575","sa3022923","Colt Emerson",806068,11
2026,"Kristian Campbell","BOS","AAA",24,75.86075500582542,0.494382022,0.3074021655686048,0.11154144,0.040816326,0.301694915,1.408163265,0.075630252,295,0.494382022,"33644","sa3023011","Kristian Campbell",692225,3
2026,"A.J. Ewing","NYM","AA",21,183.07710186686643,1.133333333,0.46099662633589755,0.09968847,0.181818181,0.185185185,2.454545454,0.222222222,81,1.133333333,"33656","sa3022963","A.J. Ewing",805999,25
2026,"A.J. Ewing","NYM","AAA",21,117.50740593047017,1,0.3766145133504681,0.06593407,0,0.098039215,0.65,0.108695652,51,1,"33656","sa3022963","A.J. Ewing",805999,25
2026,"CJ Kayfus","CLE","AAA",24,89.75062414964898,0.44,0.3257352669130672,0.14084507,0.071428571,0.284090909,1.642857142,0.094594594,176,0.44,"33704","sa3023068","CJ Kayfus",692216,5
2026,"Cooper Ingle","CLE","AAA",24,150.36289513399205,0.82,0.4216798191720789,0.05870021,0.235294117,0.226244343,0.862745098,0.267045454,221,0.82,"33708","sa3023069","Cooper Ingle",694876,5
2026,"Travis Bazzana","CLE","AAA",23,147.59217043853317,0.84,0.41729397557932757,0.07835052,0.086956521,0.213675213,1.391304347,0.223404255,117,0.84,"34967","sa3025129","Travis Bazzana",683953,5
2026,"Christian Moore","LAA","AAA",23,154.18644074651488,0.836065573,0.45614661377095667,0.12068966,0.192307692,0.21708185,1.192307692,0.247747748,281,0.836065573,"34979","sa3025168","Christian Moore",695681,1
2026,"Ryan Waldschmidt","ARI","AAA",23,122.5435409912391,0.566037735,0.4110431098727928,0.08938547,0.113207547,0.23245614,0.754716981,0.208556149,228,0.566037735,"35061","sa3025261","Ryan Waldschmidt",814439,15
2026,"Sean Keys","TOR","AAA",23,179.25395423977108,0.733333333,0.46386237364066274,0.11392405,0.318181818,0.194805194,0.681818181,0.4375,77,0.733333333,"35094","sa3025317","Sean Keys",815873,14
2026,"Sean Keys","TOR","AA",23,157.94612578126063,0.549019607,0.4272097205194298,0.13186813,0.285714285,0.244019138,0.857142857,0.296511628,209,0.549019607,"35094","sa3025317","Sean Keys",815873,14
2026,"Sam Antonacci","CHW","AAA",23,158.81404368301426,1.875,0.4502237246586726,0.04395604,0.222222222,0.119402985,2,0.166666666,67,1.875,"35101","sa3025363","Sam Antonacci",803011,4
2026,"Joshua Kuroda-Grauer","OAK","AA",23,104.29769874298533,0.333333333,0.35451301336288454,0.05702648,0.142857142,0.1,1.261904761,0.215277778,150,0.333333333,"35121","sa3025386","Joshua Kuroda-Grauer",811965,10
2026,"Joshua Kuroda-Grauer","OAK","AAA",23,111.82117796575643,1.142857142,0.39503168422122337,0.0449294,0.02173913,0.065116279,1.934782608,0.10880829,215,1.142857142,"35121","sa3025386","Joshua Kuroda-Grauer",811965,10
2026,"Konnor Griffin","PIT","AAA",20,220.97612920996505,1.25,0.5326333301407951,0.07954545,0,0.19047619,0.833333333,0.1875,21,1.25,"35376","sa3065496","Konnor Griffin",804606,27
2026,"Braden Montgomery","CHW","AA",23,166.25602666547977,0.65625,0.4412976678401705,0.16167665,0.25,0.253968253,1.166666666,0.292929293,126,0.65625,"35423","sa3038253","Braden Montgomery",695731,4
2026,"Braden Montgomery","CHW","AAA",23,133.0511629032127,0.5625,0.40944307049115497,0.146,0.266666666,0.242424242,3.066666666,0.18018018,132,0.5625,"35423","sa3038253","Braden Montgomery",695731,4
2026,"Diego Cartaya","SFG","A+",24,49.94762530886209,0.260869565,0.258609858580998,0.33121019,0.5,0.657142857,0.5,0.107142857,35,0.260869565,"sa3008742","sa3008742","Diego Cartaya",682616,-1
2026,"Eduardo Garcia","MIL","AAA",23,44.024715624932945,0.352941176,0.25106668725926823,0.1627907,0,0.361702127,1.2,0,47,0.352941176,"sa3008751","sa3008751","Eduardo Garcia",682633,23
2026,"Eduardo Garcia","MIL","AA",23,74.15633964922988,0.4,0.2978308300681526,0.14829396,0.095238095,0.253807106,1.166666666,0.099415204,197,0.4,"sa3008751","sa3008751","Eduardo Garcia",682633,23
2026,"Dayan Frias","CLE","AAA",24,57.648774776891464,0.466666666,0.27492051414541296,0.08852006,0.046511627,0.243243243,1.093023255,0.074074074,185,0.466666666,"sa3008768","sa3008768","Dayan Frias",682679,5
2026,"Alexander Vargas","CIN","AA",24,106.06154748760837,0.571428571,0.3567198048035304,0.08144796,0,0.112903225,1.846153846,0.053571428,62,0.571428571,"sa3008851","sa3008851","Alexander Vargas",683061,-1
2026,"Brayan Buelvas","OAK","AA",24,151.707376028515,0.615384615,0.43149878116364176,0.11111111,0.25,0.276595744,0.583333333,0.307692307,47,0.615384615,"sa3008868","sa3008868","Brayan Buelvas",683454,10
2026,"Brayan Buelvas","OAK","AAA",24,48.446827041179475,0.175,0.2927533141652444,0.10477941,0.08,0.300751879,1.56,0.134920635,133,0.175,"sa3008868","sa3008868","Brayan Buelvas",683454,10
2026,"J.J. D'Orazio","LAA","AA",24,86.66415321801274,0.322580645,0.30990342980753766,0.11808118,0.142857142,0.226277372,1.028571428,0.139344262,137,0.322580645,"sa3008876","sa3008876","J.J. D'Orazio",683490,1
2026,"Euribiel Angeles","OAK","AA",24,71.73671209317982,0.423076923,0.3016391550894264,0.09552846,0.121212121,0.184397163,1.484848484,0.14516129,141,0.423076923,"sa3008877","sa3008877","Euribiel Angeles",683494,10
2026,"Euribiel Angeles","OAK","AAA",24,16.323106370314033,0.363636363,0.24090959912254697,0.09491525,0.125,0.129411764,6.375,0.05,85,0.363636363,"sa3008877","sa3008877","Euribiel Angeles",683494,10
2026,"Albert Fabian","SDP","AA",24,86.83122649136942,0.5,0.3104508227772183,0.11830635,0.101694915,0.168888888,1.237288135,0.14213198,225,0.5,"sa3008888","sa3008888","Albert Fabian",683546,29
