Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,wRC+,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,Zone%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,GB%,FB%,LD%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Jonathan Guzmán,0,666695.0,sa917127,26,9560,165,151,0.179,0.248,0.23199999999999998,0.0,1,14.0,48,8.5,29.1,32.0,0.255,0.221,0.23600000000000002,45.4277,80.0971,17.7316,45.8466,71.777,30.8333,102.8,98.7,84.2,21.6,1.0,0.6,0.198,0.248,12.1,49.0,24.5,26.5,8.0,2.11394,-0.54025,-0.0032742424242424,7.7313301075960235,2024,AAA
Daz Cameron,MIL,663662.0,sa874736,28,10501,164,137,0.307,0.42100000000000004,0.5770000000000001,0.0,6,26.0,35,15.9,21.3,140.0,0.375,0.425,0.35600000000000004,21.4689,87.4396,9.1592,46.8468,66.3462,21.5548,111.7,107.1,90.2,41.2,4.9,3.0,0.267,0.406,16.7,33.0,38.0,29.0,14.0,7.5697600000000005,0.323822,0.0019745243902439,17.044610419881682,2024,AAA
Hayden Senger,NYM,663584.0,sa3007009,28,10423,164,147,0.252,0.32299999999999995,0.401,0.0,3,12.0,39,7.3,23.8,86.0,0.321,0.318,0.28300000000000003,36.4985,86.1272,14.5516,42.978,68.1102,29.0541,111.6,103.1,86.2,31.8,3.7,2.4,0.225,0.32899999999999996,18.3,41.1,31.8,27.1,11.0,3.07764,-0.292998,-0.0017865731707317,9.662824717078193,2024,AAA
Ismael Munguia,NYY,665998.0,sa917132,27,9862,164,134,0.239,0.366,0.366,0.0,2,22.0,22,13.4,13.4,103.0,0.268,0.33,0.3,25.2101,91.0714,6.88,42.88,62.6866,16.6667,108.7,99.7,85.3,28.1,0.9,0.6,0.225,0.28,10.2,51.6,30.3,18.0,8.0,6.5132900000000005,-0.924132,-0.0056349512195121,19.95071976273148,2024,AAA
Roman Anthony,BOS,701350.0,sa3020211,21,7828,164,131,0.344,0.46299999999999997,0.519,0.0,3,31.0,31,18.9,18.9,161.0,0.424,0.425,0.36700000000000005,21.9638,86.7403,8.9362,45.1064,56.9182,23.6842,112.5,108.4,88.0,45.5,7.9,4.9,0.257,0.39299999999999996,12.7,51.5,23.8,24.8,3.0,5.67814,-0.403396,-0.002459731707317,45.13945486646948,2024,AAA
Alex Freeland,LAD,690976.0,sa3020653,24,8822,163,143,0.23800000000000002,0.331,0.392,0.0,5,19.0,44,11.7,27.0,90.0,0.309,0.32,0.317,18.75,81.7734,9.2705,48.9362,63.0435,22.9323,106.5,103.9,91.7,45.5,9.1,5.5,0.22899999999999998,0.395,12.0,44.4,33.3,22.2,12.0,4.05333,0.15466,0.0009488343558282,33.16803706918725,2024,AAA
Moisés Gómez,SDP,664332.0,sa875163,27,9914,162,144,0.20800000000000002,0.284,0.299,0.0,3,16.0,55,9.9,34.0,53.0,0.307,0.262,0.268,31.0056,71.2919,18.2648,45.5099,69.8997,37.5,111.0,102.1,88.3,34.1,8.8,4.9,0.192,0.33399999999999996,16.5,27.5,50.5,22.0,26.0,1.55274,-0.300708,-0.0018562222222222,14.93386300797325,2024,AAA
Darell Hernaiz,ATH,687231.0,sa3011309,24,8843,157,142,0.331,0.376,0.493,0.0,5,12.0,22,7.6,14.0,107.0,0.35600000000000004,0.373,0.294,30.719,87.3626,9.9099,44.8649,73.0924,19.9275,106.5,102.2,87.2,30.9,3.3,2.5,0.253,0.34,15.4,42.5,32.5,25.0,8.0,4.692819999999999,0.430683,0.0027432038216560002,24.54068474579904,2024,AAA
Tim Tawa,ARI,694374.0,sa3016970,26,9689,157,138,0.304,0.376,0.616,0.0,10,13.0,32,8.3,20.4,131.0,0.327,0.41600000000000004,0.355,31.7757,83.5106,12.1061,46.7662,66.6667,25.1724,107.7,105.0,91.1,49.5,10.3,7.0,0.266,0.46299999999999997,18.5,42.9,33.3,23.8,10.0,5.702030000000001,0.388893,0.0024770254777070006,26.79766268004116,2024,AAA
Kyren Paris,LAA,677347.0,sa3011768,23,8740,156,138,0.21,0.28800000000000003,0.36200000000000004,0.0,4,16.0,52,10.3,33.3,57.0,0.298,0.28600000000000003,0.243,24.6291,81.7757,14.7866,48.628,67.0846,32.6599,108.8,102.4,88.1,34.5,5.7,3.2,0.17600000000000002,0.273,12.1,52.3,33.7,14.0,11.0,8.202639999999999,0.89915,0.005763782051282,24.321197970250346,2024,AAA
Hayden Cantrelle,CHC,676463.0,sa3014426,26,9821,156,129,0.271,0.397,0.426,0.0,3,23.0,48,14.7,30.8,116.0,0.41,0.366,0.27699999999999997,22.0896,77.551,15.5803,46.7409,66.6667,36.2963,102.2,96.9,84.7,21.0,0.0,0.0,0.18600000000000003,0.253,16.5,45.2,29.8,25.0,12.0,7.94677,1.40677,0.0090177564102564,12.002859358924901,2024,AAA
