Name,Org,MLBAMId,MinorMasterId,Age,AgeDays,PA,AB,BA,OBP,SLG,ISO,HR,BB,K,BB%,K%,BABIP,wOBA,xwOBA,Chase%,ZContact%,SwStr%,ZSwing%,Whiff%,MaxEV,EV90,AvgEV,HardHit%,Barrel%BBE,Barrel%PA,xBA,xSLG,PullAir%,LA,Spd,wBsR,wBsR/PA,PSScore,Season,Level
Parker Chavers,0,685091.0,sa3017939,27,10166,101,85,0.17600000000000002,0.307,0.235,0.059000000000000004,0,16,28,15.8,27.7,0.263,0.259,0.248,28.75536480686695,84.68468468468468,10.952380952380953,59.35828877005347,25.8,108.3,102.1,87.9,36.8,0.0,0.0,0.171,0.20600000000000002,12.3,5.7,6.35168,-0.0861182,-0.0008526554455445545,21.578060234072048,2025,AAA
Noah Mendlinger,STL,702331.0,sa3017001,25,9422,101,83,0.289,0.396,0.446,0.157,1,10,8,9.9,7.9,0.303,0.368,0.332,19.576719576719576,95.1219512195122,4.199475065616799,64.0625,10.0,105.0,101.0,87.6,29.9,2.6,1.98019801980198,0.261,0.348,11.7,3.8,6.267469999999999,-0.777678,-0.00769978217821782,32.89101720221224,2025,AAA
Evan Carter,TEX,694497.0,sa3014490,23,8672,100,85,0.2,0.31,0.376,0.17600000000000002,3,14,26,14.0,26.0,0.24600000000000002,0.303,0.292,25.853658536585368,82.52427184466019,12.466843501326261,59.88372093023256,30.1,107.9,102.3,86.1,30.0,8.3,5.0,0.192,0.32799999999999996,21.3,24.9,7.59237,-0.022234999999999998,-0.00022235,32.26115688307825,2025,AAA
Abrahan Gutierrez,NYY,670868.0,sa3004263,26,9705,99,88,0.25,0.33299999999999996,0.295,0.045,1,8,21,8.1,21.2,0.318,0.289,0.265,28.87700534759358,79.06976744186046,13.385826771653544,66.49484536082474,27.9,104.5,101.1,87.6,31.3,0.0,0.0,0.213,0.27399999999999997,7.8,7.2,1.77407,-0.719954,-0.007272262626262627,16.56179313403945,2025,AAA
Jerar Encarnacion,SFG,666464.0,sa943817,28,10444,98,84,0.27399999999999997,0.37799999999999995,0.46399999999999997,0.19,4,11,27,11.2,27.6,0.358,0.369,0.318,32.710280373831765,82.0,14.583333333333336,58.82352941176471,32.9,111.4,106.3,89.6,42.1,12.3,7.142857142857142,0.21100000000000002,0.395,3.5,8.3,3.05131,-0.334514,-0.003413408163265306,24.638823707604562,2025,AAA
Ivan Melendez,0,699471.0,sa3019859,26,9622,98,89,0.292,0.34700000000000003,0.483,0.191,3,7,24,7.1,24.5,0.365,0.35600000000000004,0.272,42.288557213930346,84.25196850393702,13.92757660167131,80.37974683544303,23.6,109.6,103.7,86.6,34.8,3.0,2.0408163265306123,0.221,0.327,25.8,15.7,2.9761900000000003,-0.17948599999999998,-0.0018314897959183676,21.87722831672153,2025,AAA
Eric Yang,CHC,687066.0,sa1169769,28,10290,97,83,0.22899999999999998,0.33,0.24100000000000002,0.012,0,8,28,8.2,28.9,0.33899999999999997,0.271,0.272,22.222222222222218,84.61538461538461,9.30232558139535,55.02645502645503,24.3,103.9,99.7,84.4,26.8,0.0,0.0,0.212,0.262,7.0,5.1,0.857143,-0.27069,-0.0027906185567010307,12.251013453551767,2025,AAA
Nick Kurtz,ATH,701762.0,sa3025385,23,8479,96,84,0.321,0.379,0.655,0.33299999999999996,7,9,26,9.4,27.1,0.377,0.429,0.387,25.45454545454545,79.46428571428571,12.839506172839506,60.54054054054054,31.0,110.5,107.7,95.1,57.4,23.0,14.583333333333336,0.268,0.603,15.0,14.7,1.80952,-0.164529,-0.00171384375,45.86196758503031,2025,AAA
Juan Brito,CLE,682877.0,sa3009808,24,9012,96,81,0.247,0.344,0.457,0.21,3,12,21,12.5,21.9,0.28800000000000003,0.344,0.28300000000000003,30.73593073593073,80.74074074074075,12.165450121654501,75.0,24.3,107.3,99.7,87.6,24.6,8.2,5.208333333333334,0.188,0.316,26.6,19.3,6.72123,-0.31846399999999997,-0.0033173333333333336,30.69821032187863,2025,AAA
Pedro León,PHI,694175.0,sa3014838,28,10228,93,83,0.24100000000000002,0.312,0.42200000000000004,0.18100000000000002,3,8,21,8.6,22.6,0.28300000000000003,0.318,0.273,26.16279069767442,85.82089552238807,13.461538461538463,69.79166666666666,27.4,108.2,104.2,84.5,31.6,5.3,3.2258064516129035,0.20600000000000002,0.321,18.8,14.4,5.94316,0.8504280000000001,0.009144387096774191,19.17124224610227,2025,AAA
Mitchell Daly,0,699475.0,sa3025169,25,9145,91,81,0.222,0.297,0.321,0.099,1,7,29,7.7,31.9,0.327,0.276,0.273,26.51933701657459,71.31147540983606,16.666666666666664,63.874345549738216,36.5,102.1,100.4,84.9,32.7,5.8,3.296703296703297,0.20600000000000002,0.32899999999999996,12.5,9.4,7.617539999999999,0.235471,0.002587593406593407,18.1620188199911,2025,AAA
Matt Gorski,LAD,685301.0,sa3010399,28,10384,88,79,0.278,0.318,0.519,0.24100000000000002,4,6,23,6.8,26.1,0.327,0.35,0.36700000000000005,37.654320987654316,78.09523809523809,18.55345911949685,67.30769230769229,35.5,116.0,108.9,94.0,54.2,20.3,13.636363636363635,0.271,0.537,22.0,17.2,5.23499,0.256196,0.0029113181818181816,28.731394596972702,2025,AAA
Omar Martinez,LAA,683079.0,sa3008573,24,9090,88,75,0.2,0.307,0.28,0.08,1,11,37,12.5,42.0,0.368,0.27,0.239,26.108374384236456,69.06474820143886,18.9873417721519,72.39583333333334,39.1,106.2,101.6,84.2,38.5,5.1,2.272727272727273,0.157,0.23399999999999999,15.4,8.7,4.26786,-0.203018,-0.0023070227272727274,19.250972924563484,2025,AAA
Kevin Graham,0,681184.0,sa3020087,26,9784,86,73,0.13699999999999998,0.244,0.205,0.068,1,10,25,11.6,29.1,0.184,0.213,0.24,27.41935483870968,77.35849056603773,15.868263473053892,71.62162162162163,33.8,109.7,102.4,85.4,36.0,2.0,1.162790697674419,0.163,0.226,6.0,9.0,4.44183,0.06538530000000001,0.0007602941860465115,19.730072650208285,2025,AAA
Colin Davis,SEA,695342.0,sa3016806,27,9973,84,71,0.19699999999999998,0.321,0.35200000000000004,0.155,3,11,19,13.1,22.6,0.22399999999999998,0.305,0.307,31.79190751445087,75.92592592592592,16.049382716049386,71.52317880794702,31.9,107.5,104.7,89.6,34.6,7.7,4.761904761904762,0.19899999999999998,0.35700000000000004,12.1,20.8,5.79019,0.8130350000000001,0.009678988095238095,25.56404795881744,2025,AAA
Fernando Peguero,BAL,800387.0,sa3018546,21,7824,82,73,0.16399999999999998,0.256,0.247,0.08199999999999999,1,9,21,11.0,25.6,0.21600000000000003,0.233,0.245,31.818181818181817,70.40816326530613,16.139240506329113,70.0,33.1,106.0,97.6,84.8,21.6,0.0,0.0,0.198,0.23399999999999999,9.4,4.4,5.73804,0.656196,0.00800239024390244,18.27802789258548,2025,AAA
Kemp Alderman,MIA,694580.0,sa3022562,23,8681,82,76,0.303,0.341,0.6709999999999999,0.368,7,5,22,6.1,26.8,0.33299999999999996,0.42,0.37200000000000005,32.16374269005848,83.69565217391305,16.225165562913908,70.22900763358778,33.3,114.4,110.3,95.0,61.8,14.5,9.75609756097561,0.29100000000000004,0.545,18.2,12.9,3.85946,-0.17615,-0.002148170731707317,45.07520182747457,2025,AAA
Juan Corniel,0,691284.0,sa3015169,23,8638,81,77,0.23399999999999999,0.272,0.33799999999999997,0.10400000000000001,1,3,16,3.7,19.8,0.28300000000000003,0.268,0.251,35.384615384615394,90.42553191489364,11.71875,74.60317460317461,21.4,101.7,96.6,84.2,23.0,0.0,0.0,0.23800000000000002,0.284,9.4,2.2,3.42214,-0.637293,-0.007867814814814815,17.18863835609339,2025,AAA
Agustín Ramírez,MIA,682663.0,sa3009276,24,9026,80,71,0.254,0.313,0.479,0.225,3,7,19,8.8,23.8,0.294,0.335,0.28600000000000003,31.41025641025641,81.72043010752688,16.129032258064516,75.60975609756099,31.7,111.8,109.4,89.0,44.4,13.0,8.75,0.20800000000000002,0.392,25.9,9.5,6.77787,0.873114,0.010913925,37.976279721902344,2025,AAA
