Season,League,Avg_Age,Std_Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2017,Florida State League,22.33,1.28,2.32,0.57,1.61,0.4
2017,Gulf Coast League,19.93,1.89,2.52,0.67,1.89,0.48
2017,International League,23.12,1.07,2.79,0.65,1.81,0.49
2017,Mexican League,21.85,1.58,1.37,0.52,1.21,0.4
2017,Midwest League,21.48,1.49,2.43,0.59,1.42,0.33
2017,Pacific Coast League,23.13,1.01,2.97,0.68,2.39,0.68
2017,Pioneer League,20.8,1.53,4.12,0.95,2.07,0.43
2017,South Atlantic League,21.59,1.5,2.3,0.57,1.38,0.34
2017,Southern League,22.89,1.17,1.83,0.41,1.6,0.52
2017,Texas League,22.6,1.26,2.44,0.6,1.47,0.38
2018,Appalachian League,20.46,1.49,3.09,0.75,1.8,0.41
2018,Arizona League,19.77,1.81,2.36,0.62,1.99,0.51
2018,California League,22.36,1.28,2.59,0.63,1.61,0.37
2018,Carolina League,22.29,1.28,2.35,0.59,1.47,0.33
2018,Dominican Summer League,17.78,1.11,2.2,0.57,1.57,0.39
2018,Eastern League,22.93,1.15,2.23,0.54,1.68,0.48
2018,Florida State League,22.19,1.36,2.36,0.59,1.47,0.36
2018,Gulf Coast League,19.92,1.77,2.51,0.65,2.28,0.53
2018,International League,23.12,1.1,2.46,0.58,1.62,0.5
2018,Midwest League,21.45,1.43,2.41,0.59,1.59,0.38
2018,Pacific Coast League,22.98,1.08,2.43,0.57,2.06,0.58
2018,Pioneer League,20.57,1.66,3.45,0.83,1.96,0.43
2018,South Atlantic League,21.49,1.53,2.23,0.56,1.46,0.36
2018,Southern League,22.87,1.11,2.0,0.47,1.7,0.52
2018,Texas League,22.78,1.25,2.64,0.63,1.61,0.45
2019,Arizona League,19.79,1.88,2.97,0.72,2.39,0.55
2019,California League,22.25,1.52,2.27,0.54,1.68,0.4
2019,Carolina League,22.34,1.21,2.05,0.52,1.54,0.37
2019,Dominican Summer League,17.75,1.08,2.49,0.63,1.5,0.36
2019,Eastern League,22.98,1.11,1.71,0.42,1.52,0.44
2019,Florida State League,22.13,1.28,1.96,0.51,1.49,0.39
2019,Gulf Coast League,19.7,1.82,2.37,0.63,1.81,0.46
2019,International League,23.17,1.03,2.98,0.72,2.05,0.51
2019,Mexican League,22.35,1.47,1.65,0.6,1.56,0.56
2019,Midwest League,21.36,1.47,2.17,0.53,1.45,0.35
2019,Pacific Coast League,23.2,1.1,2.98,0.71,2.34,0.65
2019,South Atlantic League,21.66,1.39,2.13,0.52,1.53,0.38
2019,Southern League,22.82,1.13,1.76,0.4,1.63,0.52
2019,Texas League,22.7,1.3,2.34,0.58,1.63,0.45
2021,Arizona Complex League,20.27,1.78,2.48,0.7,2.06,0.55
2021,Dominican Summer League,17.86,0.96,2.03,0.58,1.44,0.39
2021,Double-A Central,22.82,1.2,2.51,0.61,1.71,0.4
2021,Double-A Northeast,22.97,1.06,2.29,0.56,1.82,0.46
2021,Double-A South,23.04,1.08,1.94,0.49,1.73,0.43
2021,Florida Complex League,20.32,1.66,2.5,0.72,2.06,0.56
2021,High-A Central,22.24,1.37,2.51,0.61,1.78,0.43
2021,High-A East,22.54,1.27,2.6,0.63,1.96,0.46
2021,High-A West,22.47,1.34,2.32,0.54,2.21,0.52
2021,Low-A East,21.4,1.57,2.56,0.61,1.84,0.43
2021,Low-A Southeast,21.48,1.48,2.36,0.58,1.97,0.48
2021,Low-A West,21.18,1.56,2.84,0.66,1.92,0.43
2021,Triple-A East,22.97,1.06,2.73,0.64,2.34,0.63
2021,Triple-A West,22.94,1.2,3.15,0.75,2.44,0.57
2022,Arizona Complex League,20.28,1.86,2.2,0.6,2.0,0.54
2022,California League,21.28,1.73,2.95,0.68,2.08,0.47
2022,Carolina League,20.86,1.59,2.6,0.62,1.87,0.42
2022,Dominican Summer League,17.81,0.99,2.35,0.65,1.5,0.4
2022,Eastern League,22.8,1.27,2.55,0.62,1.91,0.46
2022,Florida Complex League,20.09,1.65,2.14,0.59,2.12,0.56
2022,Florida State League,21.26,1.52,1.94,0.49,1.9,0.48
2022,International League,23.05,1.0,3.29,0.78,2.16,0.55
2022,Midwest League,22.13,1.39,2.39,0.59,1.62,0.39
2022,Northwest League,22.36,1.41,2.5,0.62,1.51,0.35
2022,Pacific Coast League,22.97,1.1,3.63,0.85,1.96,0.42
2022,South Atlantic League,22.16,1.37,2.55,0.62,1.71,0.4
2022,Southern League,22.61,1.35,2.82,0.68,1.7,0.39
2022,Texas League,22.83,1.28,3.39,0.8,2.0,0.44
2023,Arizona Complex League,20.28,1.75,3.25,0.85,2.43,0.6
2023,California League,21.06,1.77,2.66,0.63,1.67,0.38
2023,Carolina League,20.99,1.57,2.39,0.58,1.9,0.45
2023,Dominican Summer League,17.76,1.02,2.54,0.67,1.64,0.4
