PlayerId,Name,Team,Level,Age,current_age_z,age_z_slope,has_slope,career_pa_eq,p_grad_knn,n_neighbors,level_base_p_grad,p_grad_vs_baseline,pppa_disc,cond_pppa_z_ageonly,cond_pppa_z,level_base_expected,expected_pppa_z,implied_mult_2tier,age_mult_pgvb,current_mult,Combined_Rank,Combined_Score,ABILITY_Score,TOOLS_Score
694876,Cooper Ingle,CLE,AAA,24.0,-0.11,0.005,True,955.7,0.52,50,0.4699,1.107,0.5135102127659575,0.212,0.3463,0.0918,0.1801,1.201,1.107,1.0006,25,74.94,81.23,74.34
804858,Bryan Rincon,PHI,AA,22.0,-0.85,0.241,True,579.1,0.5,50,0.2872,1.741,0.2665376912378303,0.3235,0.2616,0.0561,0.1308,2.883,1.741,1.0046,26,74.93,79.58,78.53
702662,Dylan Dreiling,TEX,AA,23.0,-0.34,-0.295,True,503.5,0.14,50,0.2872,0.487,0.3646859474161378,0.2466,0.2627,0.0561,0.0368,0.615,0.487,1.0018,27,74.54,74.03,79.72
825570,Yensi De La Cruz,HOU,R,19.0,1.51,,False,41.8,0.0,50,0.0471,0.0,0.1611961722488038,-0.0322,-0.1778,0.0092,-0.0,-0.0,0.2,0.9918,27,74.54,76.15,78.92
694444,Tavian Josenberger,BAL,AA,24.0,0.45,0.246,True,535.1,0.22,50,0.2872,0.766,0.2750890778871979,0.1276,0.0725,0.0561,0.016,0.5,0.766,0.9976,29,74.45,80.32,74.26
828824,Josiah Ragsdale,STL,AA,22.0,-0.99,-0.704,True,251.3,0.22,50,0.2872,0.766,0.45858922558922566,0.3446,0.4353,0.0561,0.0958,1.351,0.766,1.0053,30,74.32,82.66,66.53
701906,Trevor Cohen,SF,AA,22.0,-0.85,-0.422,True,280.6,0.48,50,0.2872,1.671,0.3773762569832403,0.3235,0.3497,0.0561,0.1679,2.768,1.671,1.0046,31,73.84,77.73,73.13
694991,Mitch Jebb,PIT,AAA,24.0,-0.11,0.062,True,735.4,0.64,50,0.4699,1.362,0.3758635144671842,0.212,0.237,0.0918,0.1517,1.478,1.362,1.0006,32,73.81,84.87,66.87
701527,Mike Sirota,LAD,AA,23.0,-0.34,-0.498,True,323.8,0.26,50,0.2872,0.905,0.3914755319148936,0.2466,0.284,0.0561,0.0738,1.143,0.905,1.0018,33,73.36,71.13,82.91
690961,Enrique Bradfield Jr.,BAL,AAA,24.0,-0.11,-0.079,True,718.9,0.4,50,0.4699,0.851,0.463282239720035,0.212,0.3064,0.0918,0.1226,0.924,0.851,1.0006,34,73.08,88.84,61.05
825927,Rafe Perich,TEX,AA,24.0,0.31,-0.604,True,356.6,0.06,50,0.2872,0.209,0.368883595505618,0.1487,0.1681,0.0561,0.0101,0.159,0.209,0.9983,35,72.69,72.1,78.03
694230,Hendry Mendez,MIN,AAA,22.0,-1.51,0.15,True,983.4,0.64,50,0.4699,1.362,0.23378549763033174,0.4244,0.3365,0.0918,0.2154,2.959,1.362,1.0101,36,72.68,72.52,80.11
701394,Zach Ehrhard,LAD,AAA,23.0,-0.74,-0.268,True,903.4,0.48,50,0.4699,1.021,0.4147468416735029,0.3069,0.3628,0.0918,0.1741,1.605,1.021,1.004,37,72.3,85.42,64.14
816113,Eli Willits,WSH,A+,18.0,-2.39,-0.7,True,165.0,0.56,50,0.1665,3.363,0.2583533678756477,0.6824,0.614,0.0325,0.3438,11.758,3.363,1.1838,38,72.22,75.28,72.59
804446,Eddie Micheletti Jr.,LAA,AA,24.0,0.32,-0.222,True,471.1,0.36,50,0.2872,1.253,0.27285657142857145,0.1472,0.0903,0.0561,0.0325,0.945,1.253,0.9983,39,72.11,72.51,78.27
828098,JoJo Parker,TOR,A+,19.0,-2.02,-0.81,True,124.8,0.46,50,0.1665,2.763,0.17342762096774197,0.5739,0.438,0.0325,0.2015,8.123,2.763,1.1107,40,71.72,61.29,91.92
800406,Aron Estrada,BAL,AA,21.0,-1.49,-0.23,True,614.7,0.64,50,0.2872,2.228,0.3685335923490735,0.42,0.4391,0.0561,0.281,4.791,2.228,1.008,40,71.72,80.66,68.54
703639,Nico Perez,LAD,A+,21.0,-0.7,-0.058,True,192.1,0.26,50,0.1665,1.562,0.2877457142857143,0.3009,0.2559,0.0325,0.0665,2.407,1.562,1.0038,42,71.7,73.12,72.78
806884,Luis Escudero,NYY,A,20.0,-0.68,-0.357,True,94.7,0.0,50,0.1155,0.0,0.18565029239766082,0.2979,0.1717,0.0226,0.0,0.0,0.2,1.0037,43,71.44,70.32,74.9
815931,Yolfran Castillo,TEX,A,19.0,-0.97,0.304,True,193.2,0.16,50,0.1155,1.385,0.1648644712430427,0.3416,0.1989,0.0226,0.0318,2.418,1.385,1.0052,44,71.36,78.96,67.01
811312,Justin Riemer,OAK,AAA,24.0,-0.09,-0.441,True,262.7,0.06,50,0.4699,0.128,0.0714719708029197,0.209,-0.0079,0.0918,-0.0005,0.137,0.2,1.0005,45,71.32,63.62,83.51
815352,Caleb Bonemer,CWS,AA,20.0,-1.99,-0.513,True,365.6,0.62,50,0.2872,2.159,0.30119940059940054,0.5651,0.5308,0.0561,0.3291,6.245,2.159,1.1048,46,71.26,72.52,76.12
823658,Daniel Dickinson,MIL,A+,22.0,-0.06,,False,169.7,0.16,50,0.1665,0.961,0.34,0.2044,0.2009,0.0325,0.0321,1.006,0.961,1.0003,47,71.2,83.6,63.82
815589,Bo Davidson,SF,AAA,23.0,-0.74,-0.161,True,674.9,0.62,50,0.4699,1.319,0.4564322289156627,0.3069,0.3959,0.0918,0.2455,2.073,1.319,1.004,48,71.07,74.34,70.32
803745,Adrian Santana,MIA,AA,20.0,-1.99,-0.109,True,397.6,0.72,50,0.2872,2.507,0.29957220863895684,0.5651,0.5295,0.0561,0.3812,7.253,2.507,1.1048,49,70.7,84.98,58.35
