Season,League,Age,Avg_PPG,Avg_PPPA,Std_PPG,Std_PPPA
2008,Florida State League,18.0,2.37,0.56,,
2008,Florida State League,19.0,2.92,0.92,,
2008,Florida State League,20.0,1.91,0.42,1.63,0.52
2008,Florida State League,21.0,2.49,0.63,1.48,0.37
2008,Florida State League,22.0,2.47,0.63,1.58,0.34
2008,Florida State League,23.0,2.52,0.64,1.27,0.29
2008,Florida State League,24.0,2.61,0.67,1.49,0.34
2008,Gulf Coast League,17.0,1.58,0.39,1.82,0.48
2008,Gulf Coast League,18.0,2.24,0.59,1.65,0.43
2008,Gulf Coast League,19.0,2.36,0.66,1.7,0.47
2008,Gulf Coast League,20.0,2.38,0.65,1.46,0.35
2008,Gulf Coast League,21.0,2.4,0.66,1.73,0.44
2008,Gulf Coast League,22.0,3.11,0.83,1.94,0.44
2008,Gulf Coast League,23.0,2.86,0.79,2.22,0.61
2008,Gulf Coast League,24.0,4.06,1.3,1.05,0.2
2008,International League,20.0,4.67,1.2,,
2008,International League,21.0,4.89,1.16,1.29,0.36
2008,International League,22.0,1.38,0.38,2.32,0.57
2008,International League,23.0,2.08,0.46,2.24,0.58
2008,International League,24.0,2.58,0.64,1.62,0.4
2008,Mexican League,17.0,0.81,0.46,,
2008,Mexican League,18.0,1.88,0.54,2.21,0.44
2008,Mexican League,20.0,1.45,0.62,1.05,0.23
2008,Mexican League,21.0,1.01,0.45,0.73,0.26
2008,Mexican League,22.0,1.73,0.59,0.87,0.23
2008,Mexican League,23.0,1.25,0.47,1.09,0.28
2008,Mexican League,24.0,2.05,0.62,1.48,0.34
2008,Midwest League,18.0,2.43,0.55,2.18,0.43
2008,Midwest League,19.0,2.25,0.56,1.21,0.27
2008,Midwest League,20.0,2.23,0.56,1.4,0.33
2008,Midwest League,21.0,2.26,0.56,1.36,0.3
2008,Midwest League,22.0,2.55,0.63,1.46,0.35
2008,Midwest League,23.0,2.56,0.64,1.52,0.37
2008,Midwest League,24.0,2.36,0.6,0.88,0.19
2008,Pacific Coast League,20.0,3.73,0.82,,
2008,Pacific Coast League,21.0,2.23,0.64,1.26,0.21
2008,Pacific Coast League,22.0,2.8,0.71,2.32,0.59
2008,Pacific Coast League,23.0,2.68,0.61,2.2,0.58
2008,Pacific Coast League,24.0,2.57,0.61,2.09,0.58
2008,Pioneer League,18.0,3.6,0.86,1.23,0.27
2008,Pioneer League,19.0,3.4,0.8,1.94,0.41
2008,Pioneer League,20.0,3.2,0.74,2.3,0.53
2008,Pioneer League,21.0,3.24,0.78,1.84,0.42
2008,Pioneer League,22.0,3.41,0.83,1.56,0.34
2008,Pioneer League,23.0,3.06,0.8,1.33,0.28
2008,Pioneer League,24.0,5.82,1.37,1.81,0.39
2008,South Atlantic League,17.0,2.16,0.52,1.2,0.3
2008,South Atlantic League,18.0,3.91,0.93,1.13,0.25
2008,South Atlantic League,19.0,2.75,0.67,1.19,0.26
2008,South Atlantic League,20.0,2.52,0.62,0.94,0.2
2008,South Atlantic League,21.0,2.72,0.67,1.53,0.35
2008,South Atlantic League,22.0,2.38,0.59,1.68,0.39
2008,South Atlantic League,23.0,2.52,0.64,1.36,0.32
2008,South Atlantic League,24.0,2.22,0.56,1.73,0.41
2008,Southern League,19.0,8.62,1.82,,
2008,Southern League,20.0,2.01,0.6,2.31,0.37
2008,Southern League,21.0,2.3,0.5,2.01,0.65
2008,Southern League,22.0,2.13,0.5,2.29,0.77
2008,Southern League,23.0,1.9,0.44,1.76,0.54
2008,Southern League,24.0,2.14,0.56,1.69,0.47
