Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2008,Andrew Brown,STL,AA,23,68,247,282,62,36,14,0,12,36,38,30,1,81,4,1,0,11,1,0,0.251012145,3837
2009,Andrew Brown,STL,AA,24,74,263,302,75,49,11,2,13,40,42,31,2,49,6,2,0,5,1,0,0.285171102,3837
2006,Oswaldo Navarro,SEA,AA,21,79,266,313,71,56,13,1,1,27,24,39,1,57,5,0,3,5,7,6,0.266917293,3868
2008,Chris Pettit,LAA,AA,23,61,222,251,55,35,12,2,6,27,26,16,0,39,8,1,4,4,5,2,0.247747747,3870
2006,Nick Stavinoha,STL,AA,24,111,417,453,124,83,26,3,12,55,73,28,0,81,2,6,0,10,2,1,0.29736211,3909
2009,German Duran,HOU,AA,24,14,44,52,6,5,1,0,0,2,2,4,1,11,3,1,0,2,1,0,0.136363636,3919
2007,German Duran,TEX,AA,22,130,480,529,144,85,32,5,22,81,84,34,0,77,7,4,4,13,11,2,0.3,3919
2010,Andy Parrino,SDP,AA,24,125,410,492,101,58,28,4,11,70,49,68,8,115,8,2,4,9,4,2,0.246341463,3972
2007,Justin Sellers,OAK,AA,21,14,45,51,7,6,1,0,0,2,3,3,0,10,1,0,2,1,2,0,0.155555555,4006
2008,Justin Sellers,OAK,AA,22,123,439,507,112,83,15,8,6,72,46,47,0,77,7,5,9,11,10,6,0.255125284,4006
2008,Dexter Fowler,COL,AA,22,108,421,505,141,92,31,9,9,92,64,65,4,89,8,3,8,6,20,8,0.334916864,4062
2007,Anthony Recker,OAK,AA,23,58,201,219,41,25,12,0,4,16,20,17,0,63,1,0,0,8,0,1,0.203980099,4063
2008,Anthony Recker,OAK,AA,24,117,430,482,118,74,29,4,11,57,64,43,0,140,5,2,2,11,1,2,0.274418604,4063
2008,Aaron Cunningham,OAK,AA,22,87,347,401,110,74,18,6,12,65,52,38,1,92,5,6,5,3,12,4,0.317002881,4087
2007,Jonathan Herrera,COL,AA,22,131,509,573,131,100,24,4,3,65,40,36,0,69,8,3,17,5,18,12,0.257367387,4182
2008,Jose Lobaton,SDP,AA,23,92,294,342,76,46,21,0,9,35,45,39,1,75,0,7,2,8,1,1,0.258503401,4243
