Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2014,Jamal Austin,SEA,A+,23,6,26,28,9,7,0,0,2,5,2,1,1,3,1,0,0,0,1,0,0.346153846,sa526245
2012,Dan Burkhart,SFG,A+,23,34,114,130,34,24,6,2,2,14,19,12,0,27,1,3,0,4,1,1,0.298245614,sa526254
2011,Devin Lohman,CIN,A+,22,39,130,147,43,26,10,2,5,25,17,13,0,23,2,0,2,3,4,2,0.33076923,sa526331
2012,Devin Lohman,CIN,A+,23,130,494,575,127,87,23,3,14,80,70,60,1,108,15,3,3,6,34,9,0.25708502,sa526331
2012,Robert Kral,SDP,A+,23,22,54,68,17,9,5,0,3,6,9,11,0,13,1,2,0,1,0,1,0.314814814,sa526396
2013,Robert Kral,SDP,A+,24,80,269,340,77,43,16,5,13,57,45,63,2,51,5,3,0,2,2,0,0.286245353,sa526396
2011,Jake Lemmerman,LAD,A+,22,103,400,469,117,84,23,2,8,71,54,47,1,90,12,5,5,6,9,3,0.2925,sa526398
2012,Ryan Pineda,OAK,A+,23,71,237,274,59,36,18,1,4,25,28,30,0,56,5,1,1,3,4,4,0.248945147,sa526405
2011,Jake Schlander,SEA,A+,22,47,158,191,43,31,12,0,0,30,17,27,0,42,3,2,1,1,4,0,0.272151898,sa526485
2012,Mickey Wiswall,SEA,A+,23,123,497,535,139,81,33,4,21,80,98,31,1,115,4,3,0,5,8,6,0.279678068,sa526505
2011,Ryan LaPensee,ARI,A+,22,74,238,262,58,45,13,0,0,19,24,16,0,40,2,2,3,1,7,4,0.243697478,sa526548
2012,Ryan LaPensee,ARI,A+,23,95,334,367,88,65,16,3,4,39,36,20,0,62,5,3,5,5,8,2,0.263473053,sa526548
2012,Chris O'Brien,LAD,A+,22,80,302,331,76,55,11,3,7,33,44,23,0,54,2,4,0,7,1,0,0.251655629,sa526558
2013,Chris O'Brien,LAD,A+,23,64,210,233,41,25,12,1,3,28,21,18,0,51,0,2,3,2,0,0,0.195238095,sa526558
2012,B.A. Vollmuth,OAK,A+,22,65,264,295,69,47,15,0,7,45,29,27,0,70,3,1,0,9,0,2,0.261363636,sa526567
2013,B.A. Vollmuth,OAK,A+,23,125,471,543,100,52,25,2,21,66,70,56,1,161,7,7,2,7,0,0,0.212314225,sa526567
2011,Austin Wates,HOU,A+,22,132,526,592,158,120,23,9,6,85,75,47,1,86,11,6,2,13,26,7,0.300380228,sa526661
2013,Niko Gallego,COL,A+,24,81,228,256,49,32,11,3,3,29,17,14,0,58,10,2,2,2,14,5,0.21491228,sa526813
2010,Niko Gallego,ARI,A+,21,39,122,148,29,23,3,2,1,18,14,15,0,28,5,1,5,1,4,2,0.237704918,sa526813
2013,Tom Belza,ARI,A+,23,128,476,538,143,107,21,5,10,73,63,51,0,93,2,3,6,7,12,7,0.300420168,sa526826
2012,Ricky Oropesa,SFG,A+,22,134,518,583,136,87,30,3,16,70,98,59,2,150,2,4,0,7,1,1,0.262548262,sa526884
2013,Ricky Oropesa,SFG,A+,23,57,220,253,65,41,16,0,8,30,38,24,2,55,4,5,0,5,0,0,0.295454545,sa526884
2013,Phil Pohl,OAK,A+,22,54,194,217,44,27,8,0,9,32,20,12,0,68,7,4,0,0,1,0,0.226804123,sa526886
2012,Chris Bisson,SDP,A+,22,131,472,516,136,111,17,5,3,76,46,35,0,91,0,5,4,7,43,13,0.288135593,sa526933
2014,Sebastian Elizalde,CIN,A+,22,66,243,267,66,39,17,1,9,35,37,19,0,44,3,2,0,9,10,7,0.271604938,sa544568
2011,Andrew Giobbi,SEA,A+,24,25,77,87,15,8,6,0,1,8,10,5,0,22,1,1,3,4,0,0,0.194805194,sa545042
2012,Drew Muren,HOU,A+,23,21,81,90,26,22,2,0,2,16,13,7,0,19,1,1,0,0,5,1,0.320987654,sa545091
2013,Drew Muren,HOU,A+,24,12,43,49,16,11,2,1,2,12,8,5,0,12,1,0,0,0,1,0,0.372093023,sa545091
2012,Tim Smalling,COL,A+,24,68,259,295,71,51,14,4,2,38,33,28,1,53,1,3,4,3,5,1,0.274131274,sa545109
2013,Julio Morillo,CIN,A+,20,18,52,60,8,8,0,0,0,7,4,6,0,5,1,1,0,1,1,0,0.153846153,sa546504
2014,Julio Morillo,CIN,A+,21,14,39,45,11,10,1,0,0,4,2,2,0,6,0,1,3,2,0,0,0.282051282,sa546504
2014,Nick Benedetto,CIN,A+,21,13,44,46,6,2,4,0,0,3,2,1,0,15,0,0,1,1,0,0,0.136363636,sa546507
2013,Travis Whitmore,SDP,A+,24,55,183,198,39,33,4,1,1,22,18,11,0,45,1,2,1,7,0,0,0.213114754,sa546623
