Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2016,Francis Christy,ARI,A,20,59,201,224,49,34,11,2,2,20,17,22,0,61,0,1,0,1,0,3,0.243781094,sa738727
2017,Francis Christy,ARI,A,21,21,78,79,14,13,1,0,0,7,2,1,0,25,0,0,0,1,3,0,0.179487179,sa738727
2013,Riley Good,LAA,A,21,41,142,157,32,31,1,0,0,13,6,9,1,32,2,2,2,1,0,3,0.225352112,sa738888
2014,Ryan Miller,SDP,A,21,87,305,337,74,48,14,0,12,38,37,19,1,69,9,2,2,5,1,1,0.24262295,sa738892
2014,L.B. Dantzler,TOR,A,23,43,161,191,40,28,8,1,3,22,35,25,1,21,2,3,0,4,0,0,0.248447204,sa738895
2015,Silento Sayles,CLE,A,19,16,53,64,15,10,5,0,0,6,6,4,0,14,2,2,3,0,0,1,0.283018867,sa738898
2016,Silento Sayles,CLE,A,20,18,64,72,12,9,3,0,0,6,1,5,0,21,3,0,0,0,4,4,0.1875,sa738898
2014,Ronnie Mitchell,HOU,A,23,72,249,284,71,45,12,1,13,39,46,29,3,64,2,3,1,4,5,6,0.285140562,sa738900
2017,Trever Morrison,MIL,A,22,93,299,345,61,37,17,2,5,48,27,29,0,110,10,1,6,5,8,4,0.204013377,sa738906
2018,Trever Morrison,MIL,A,23,54,198,225,50,42,8,0,0,22,23,18,1,58,3,3,3,2,8,2,0.252525252,sa738906
2016,Connor Goedert,HOU,A,22,69,255,278,55,31,19,0,5,23,33,17,0,77,0,6,0,2,0,4,0.215686274,sa738933
2018,Harrison Wenson,LAA,A,23,58,185,221,21,11,4,0,6,21,17,27,0,101,5,0,3,3,4,0,0.113513513,sa738936
2019,Harrison Wenson,LAA,A,24,78,257,308,49,20,17,0,12,38,44,44,0,120,6,1,0,2,2,1,0.190661478,sa738936
2014,Eric Aguilera,LAA,A,23,124,469,524,137,97,22,4,14,59,71,35,2,101,7,12,1,12,17,3,0.292110874,sa738943
2017,Brock Carpenter,LAD,A,22,7,23,26,6,5,0,0,1,2,3,3,0,9,0,0,0,1,1,0,0.260869565,sa738974
2018,Brock Carpenter,LAD,A,23,50,176,196,43,24,11,4,4,19,17,19,0,61,1,0,0,4,2,1,0.244318181,sa738974
2017,Mark Karaviotis,ARI,A,21,57,202,236,62,46,13,1,2,35,21,21,0,54,11,2,0,2,1,0,0.306930693,sa738977
2017,Anfernee Grier,ARI,A,21,123,475,547,119,92,20,3,4,69,36,58,0,114,8,3,3,9,30,11,0.250526315,sa738988
2016,J.B. Woodman,TOR,A,21,9,34,39,15,12,2,0,1,5,5,4,0,13,0,1,0,0,0,1,0.44117647,sa738989
2017,J.B. Woodman,TOR,A,22,96,362,414,87,56,19,5,7,44,45,40,1,157,5,5,2,3,8,4,0.240331491,sa738989
2017,Robbie Tenerowicz,TBR,A,22,95,349,390,103,64,25,3,11,43,37,32,0,67,8,1,0,6,4,3,0.295128939,sa738999
2015,Fernery Ozuna,ARI,A,19,35,133,139,25,15,6,3,1,14,12,4,0,34,0,0,2,4,4,2,0.187969924,sa739259
2016,Fernery Ozuna,ARI,A,20,86,316,339,83,54,17,5,7,35,28,15,1,71,3,0,5,5,17,7,0.262658227,sa739259
2017,Fernery Ozuna,ARI,A,21,30,90,104,24,17,4,1,2,13,16,8,0,32,2,1,3,3,3,3,0.266666666,sa739259
2016,Manuel Guzman,MIN,A,21,30,88,103,16,15,1,0,0,14,3,14,0,12,0,1,0,1,4,3,0.181818181,sa739471
2015,Natanael Delgado,LAA,A,19,108,411,438,99,69,19,5,6,32,46,19,0,104,3,5,0,10,2,2,0.240875912,sa739558
2015,Jesse Hodges,CHC,A,21,90,303,340,72,47,18,1,6,32,34,28,1,86,7,1,1,7,1,2,0.237623762,sa739560
2016,Jesse Hodges,CHC,A,22,61,209,232,60,50,5,5,0,27,21,21,0,45,0,2,0,2,2,4,0.287081339,sa739560
2017,Julian Leon,LAA,A,21,44,161,184,49,30,14,0,5,21,23,17,0,41,5,1,0,4,0,0,0.304347826,sa739577
2015,Julian Leon,LAD,A,19,83,309,340,62,42,15,0,5,30,26,23,0,106,7,0,1,8,0,1,0.200647249,sa739577
2015,Cristian Gomez,LAD,A,19,24,90,95,18,14,3,1,0,7,5,3,0,22,1,0,1,5,1,0,0.2,sa739578
2016,Cristian Gomez,LAD,A,20,62,190,204,32,19,10,1,2,19,20,11,0,60,1,1,1,4,4,2,0.168421052,sa739578
2015,Alex Maldonado,TOR,A,24,50,167,195,33,25,7,0,1,30,17,24,0,37,1,3,0,4,6,1,0.19760479,sa739627
2016,Jhonatan Pena,SDP,A,22,96,350,368,70,50,11,2,7,26,32,12,1,93,3,3,0,4,1,1,0.2,sa739832
2013,Cody Ferrell,CLE,A,23,17,57,64,14,13,1,0,0,3,3,3,0,14,3,0,1,1,0,0,0.245614035,sa740281
2014,Cody Ferrell,CLE,A,24,48,151,173,30,21,6,0,3,21,11,20,0,40,2,0,0,1,6,3,0.198675496,sa740281
2017,Eudy Ramos,ARI,A,21,30,119,125,26,23,2,0,1,8,11,4,0,25,1,1,0,6,0,2,0.218487394,sa740555
2018,Eudy Ramos,ARI,A,22,99,378,406,89,58,17,3,11,34,57,23,0,121,3,2,0,10,1,0,0.235449735,sa740555
2017,Rodrigo Orozco,TOR,A,22,70,284,330,80,58,19,2,1,42,29,39,0,52,1,3,3,6,8,4,0.28169014,sa740813
2016,Luis Veras,ARI,A,22,30,108,112,24,18,5,1,0,8,4,2,0,20,1,1,0,1,0,2,0.222222222,sa740961
2014,Sean Smedley,TBR,A,23,15,44,52,6,6,0,0,0,1,2,8,0,16,0,0,0,4,0,1,0.136363636,sa741156
2015,Sean Smedley,TBR,A,24,7,21,23,1,1,0,0,0,1,0,2,0,6,0,0,0,0,0,0,0.047619047,sa741156
2018,Raul Wallace,CIN,A,22,43,134,142,34,25,4,1,4,18,15,5,0,59,0,2,1,0,4,3,0.253731343,sa741552
2014,Steven Halcomb,MIL,A,23,78,243,276,54,47,6,0,1,19,25,24,0,42,2,4,3,3,3,4,0.222222222,sa741703
2017,Ariel Montesino,MIN,A,21,45,151,173,28,19,7,2,0,14,5,16,0,40,0,3,3,0,3,3,0.185430463,sa745012
2018,Ariel Montesino,MIN,A,22,31,98,108,18,11,5,1,1,12,4,7,0,24,1,0,2,3,3,0,0.183673469,sa745012
2015,Marty Herum,ARI,A,23,129,511,555,155,119,23,6,7,71,79,29,2,77,4,10,1,16,5,5,0.30332681,sa745229
2014,Marty Herum,ARI,A,22,83,319,336,87,66,12,5,4,41,38,10,0,53,1,4,2,4,2,4,0.272727272,sa745229
2015,Johan Mieses,LAD,A,19,45,166,181,46,30,10,1,5,16,20,11,0,31,1,3,0,2,7,4,0.277108433,sa747574
