Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2023,Christopher De La Cruz,WSN,A,22,33,79,102,11,9,2,0,0,12,10,17,0,16,3,1,2,2,5,2,0.139240506,sa3005777
2023,Jefferson Encarnacion,CHC,A,21,37,125,144,28,20,4,2,2,21,11,18,0,45,1,0,0,3,1,0,0.224,sa3005780
2024,Jefferson Encarnacion,CHC,A,22,10,32,43,8,6,1,0,1,6,8,10,0,14,0,1,0,0,0,0,0.25,sa3005780
2021,Alexander Ovalles,TBR,A,20,89,315,370,78,55,13,2,8,45,46,43,1,68,6,4,2,4,5,4,0.247619047,sa3005781
2021,Johnabiell Laureano,CHW,A,20,15,38,46,6,6,0,0,0,2,2,6,0,14,2,0,0,0,0,0,0.157894736,sa3005787
2022,Johnabiell Laureano,CHW,A,21,7,25,29,6,3,3,0,0,0,2,1,0,12,1,0,2,1,0,0,0.24,sa3005787
2023,Johnabiell Laureano,CHW,A,22,46,147,179,29,22,3,0,4,26,14,31,0,57,0,1,0,3,1,1,0.197278911,sa3005787
2022,Edgar Martinez,KCR,A,21,24,88,98,22,17,1,3,1,13,5,8,0,38,1,0,1,0,5,0,0.25,sa3005790
2022,Guillermo Quintana,KCR,A,21,114,417,483,100,71,21,0,8,53,54,57,0,76,3,6,0,8,19,5,0.239808153,sa3005916
2022,Francis Grullon,KCR,A,21,14,50,56,8,7,1,0,0,7,4,6,0,16,0,0,0,0,0,0,0.16,sa3005927
2022,Richard Paz,CLE,A,21,80,265,317,61,46,12,1,2,33,45,39,0,61,9,4,0,6,0,1,0.230188679,sa3005928
2021,Flemin Bautista,CHC,A,21,36,124,144,24,15,7,0,2,11,17,16,0,38,2,2,0,3,0,0,0.193548387,sa3005940
2022,Oneill Manzueta,TBR,A,21,111,385,451,93,63,16,5,9,57,51,63,0,144,3,0,0,10,6,2,0.241558441,sa3005942
2023,Oneill Manzueta,TBR,A,22,28,93,105,16,11,3,1,1,8,2,10,0,42,2,0,0,0,1,0,0.17204301,sa3005942
